Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate3  10uM CNO(000)(000)_NeuralEventDetector_LFPneuralMetrics.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,14101.333333,14289.750000,15708.166667,10572.416667,12203.166667,12751.333333,14166.666667,13833.666667,
B SEM,3022.336858,1931.939848,1681.955972,1617.467598,2169.119780,2748.665528,1668.953993,2812.061250,
B Replicates,11589.000000,10349.000000,16157.000000,950.000000,15687.000000,12583.000000,7314.000000,17033.000000,
,7485.000000,15428.000000,9115.000000,6378.000000,5562.000000,6716.000000,13278.000000,6767.000000,
,4208.000000,14993.000000,16983.000000,5679.000000,6757.000000,1437.000000,15720.000000,11712.000000,
,5231.000000,9643.000000,5707.000000,13450.000000,5654.000000,3094.000000,18435.000000,5074.000000,
,9564.000000,15471.000000,18224.000000,11620.000000,7282.000000,3755.000000,8781.000000,10776.000000,
,3893.000000,3708.000000,10151.000000,8812.000000,12240.000000,10582.000000,13633.000000,11232.000000,
,7541.000000,12327.000000,13641.000000,14696.000000,6925.000000,14479.000000,17592.000000,9286.000000,
,22553.000000,12451.000000,26507.000000,15531.000000,12468.000000,8076.000000,6840.000000,4936.000000,
,16087.000000,31138.000000,16120.000000,14086.000000,15769.000000,25124.000000,13670.000000,38455.000000,
,28909.000000,13423.000000,22319.000000,13765.000000,32196.000000,33693.000000,16975.000000,20420.000000,
,36796.000000,20783.000000,20237.000000,19146.000000,16595.000000,15060.000000,27599.000000,23322.000000,
,15360.000000,11763.000000,13337.000000,2756.000000,9303.000000,18417.000000,10163.000000,6991.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.937778,2.977031,3.272535,2.202587,2.542326,2.656528,2.951389,2.882014,
B SEM,0.629653,0.402487,0.350408,0.336972,0.451900,0.572639,0.347699,0.585846,
B Replicates,2.414375,2.156042,3.366042,0.197917,3.268125,2.621458,1.523750,3.548542,
,1.559375,3.214167,1.898958,1.328750,1.158750,1.399167,2.766250,1.409792,
,0.876667,3.123542,3.538125,1.183125,1.407708,0.299375,3.275000,2.440000,
,1.089792,2.008958,1.188958,2.802083,1.177917,0.644583,3.840625,1.057083,
,1.992500,3.223125,3.796667,2.420833,1.517083,0.782292,1.829375,2.245000,
,0.811042,0.772500,2.114792,1.835833,2.550000,2.204583,2.840208,2.340000,
,1.571042,2.568125,2.841875,3.061667,1.442708,3.016458,3.665000,1.934583,
,4.698542,2.593958,5.522292,3.235625,2.597500,1.682500,1.425000,1.028333,
,3.351458,6.487083,3.358333,2.934583,3.285208,5.234167,2.847917,8.011458,
,6.022708,2.796458,4.649792,2.867708,6.707500,7.019375,3.536458,4.254167,
,7.665833,4.329792,4.216042,3.988750,3.457292,3.137500,5.749792,4.858750,
,3.200000,2.450625,2.778542,0.574167,1.938125,3.836875,2.117292,1.456458,


    ISI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.332333,9.126100,8.926080,6.272277,8.028049,7.672722,7.076190,8.619474,
B SEM,0.539152,0.427906,0.603088,0.692070,0.457257,0.650731,0.548153,0.642053,
B Replicates,5.928248,8.814715,7.428900,2.446945,6.778615,12.608132,2.360227,5.530468,
,9.146139,8.064873,9.660072,5.070602,8.166106,7.957955,10.073076,7.351602,
,8.182490,11.782405,5.031756,4.296536,7.108055,4.742497,7.096392,6.778137,
,8.265136,7.943216,6.245589,8.905645,6.498664,6.974522,7.967347,7.769889,
,8.437010,11.340169,10.165432,10.240559,7.750701,6.342551,8.799435,10.439392,
,9.574270,10.225214,10.817493,6.049566,9.852645,9.322089,7.208120,10.189175,
,12.372738,8.550162,11.299372,7.415391,7.441044,6.275737,6.355003,9.622604,
,9.070223,9.275208,7.341041,5.950778,10.366983,8.891401,7.972929,12.937783,
,8.651184,7.077843,10.449939,7.909455,10.326872,9.749014,7.909094,6.675634,
,8.791753,10.230623,10.529223,6.831213,9.456813,8.184237,6.498270,8.956249,
,6.086184,7.592475,10.602775,7.648475,6.669058,6.035622,5.557804,10.808278,
,5.482624,8.616300,7.541370,2.502159,5.921038,4.988902,7.116587,6.374479,


    Network ISI Coefficient of Variation
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,19.520930,21.065283,21.082105,17.010380,20.534328,19.297933,16.114831,23.428782,
B SEM,2.349905,2.200823,2.674851,2.270713,1.786902,2.080279,1.948651,1.553717,
B Replicates,5.720294,24.866547,11.834475,4.365540,5.812766,25.451241,4.306896,15.264353,
,13.156942,22.654446,25.729427,13.057736,20.591458,11.321483,12.754541,21.580184,
,23.234952,31.385921,11.993171,11.669724,20.433528,14.437871,20.506541,16.203822,
,22.628639,10.633756,16.153102,25.328286,15.727999,16.629936,22.658920,22.509170,
,23.971275,28.096539,20.333252,29.143681,20.392708,19.517243,25.279874,28.780424,
,27.900028,20.834363,31.688587,17.579526,28.789166,26.873315,9.856770,28.738872,
,28.398419,22.627633,32.375187,21.905498,22.724440,18.293262,10.121494,27.185127,
,25.984366,2.586511,21.550211,16.420010,26.503722,26.074601,22.366691,31.062894,
,4.979874,20.795821,28.464102,22.927274,27.744837,27.988054,23.378880,18.786544,
,25.312692,23.013693,30.040906,17.079642,22.080160,23.825330,10.782997,24.082887,
,16.951814,21.095111,2.251511,21.172299,19.179284,17.164570,13.600300,28.183125,
,16.011870,24.193056,20.571330,3.475344,16.431868,3.998292,17.764073,18.767986,


    Fano Factor
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,48.478248,62.341538,56.363388,27.007202,45.601323,43.691493,38.405515,50.493395,
B SEM,6.003184,5.885262,7.910392,5.422627,5.879220,5.695116,5.028149,7.547779,
B Replicates,33.894656,60.646671,43.468652,6.823667,29.020504,79.384279,5.370661,22.663538,
,55.386206,35.881943,41.950834,15.853196,45.378467,53.683311,64.187604,36.682832,
,42.354745,92.981404,9.441120,12.274557,20.069616,17.701548,32.912647,36.966228,
,59.981887,62.061050,30.793547,39.906140,26.880628,39.759973,48.129081,41.589533,
,60.340870,79.769347,68.742702,74.490753,42.380994,37.793313,62.408758,70.056931,
,71.009690,66.099549,94.450430,19.911081,56.761463,69.888289,38.558083,64.725928,
,62.537366,64.317363,84.098568,41.377613,48.718363,26.518490,41.098260,76.286692,
,46.134669,78.899085,27.573001,23.305655,76.766776,54.851543,51.779997,97.112228,
,72.310757,26.631897,87.007557,30.009219,78.297153,58.523368,44.132997,9.829363,
,55.684417,81.944947,69.708680,28.107866,66.944936,35.559540,28.447959,45.763580,
,5.861128,36.366071,78.145917,25.734916,31.540846,17.743461,18.860588,76.486494,
,16.242588,62.499131,40.979647,6.291764,24.456134,32.890807,24.979540,27.757391,


    Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.000000,7.583333,8.000000,7.666667,8.000000,7.666667,7.666667,8.000000,
B SEM,0.000000,0.336162,0.000000,0.333333,0.000000,0.256235,0.256235,0.000000,
B Replicates,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,5.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,5.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
