Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate3  20 uM CNO(000)(000)_NeuralEventDetector_LFPneuralMetrics.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,16361.166667,20843.083333,18982.416667,10884.250000,14579.333333,14201.250000,15611.833333,15437.666667,
B SEM,2460.238680,2772.304157,1981.345397,1567.180034,2365.293612,2481.827400,1879.527894,2981.369808,
B Replicates,20349.000000,20101.000000,17877.000000,808.000000,19416.000000,12501.000000,6353.000000,15061.000000,
,7825.000000,15735.000000,10794.000000,7501.000000,6522.000000,12496.000000,13301.000000,7013.000000,
,7249.000000,16891.000000,20627.000000,6401.000000,11652.000000,2605.000000,23365.000000,10761.000000,
,6684.000000,12922.000000,8705.000000,15806.000000,5332.000000,4307.000000,22297.000000,8611.000000,
,16165.000000,25412.000000,26219.000000,15957.000000,7181.000000,5748.000000,12425.000000,6665.000000,
,5459.000000,8923.000000,13542.000000,12495.000000,15956.000000,14485.000000,8268.000000,16226.000000,
,15406.000000,21965.000000,14577.000000,16456.000000,14024.000000,16379.000000,20082.000000,14134.000000,
,27873.000000,19975.000000,31755.000000,14449.000000,12866.000000,9538.000000,6492.000000,7553.000000,
,18897.000000,44328.000000,23692.000000,13850.000000,18279.000000,33316.000000,19562.000000,39200.000000,
,28436.000000,17126.000000,20910.000000,14352.000000,33837.000000,23197.000000,17743.000000,23015.000000,
,27553.000000,32491.000000,24573.000000,10229.000000,22407.000000,19121.000000,24368.000000,29717.000000,
,14438.000000,14248.000000,14518.000000,2307.000000,7480.000000,16722.000000,13086.000000,7296.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,3.408576,4.342309,3.954670,2.267552,3.037361,2.958594,3.252465,3.216181,
B SEM,0.512550,0.577563,0.412780,0.326496,0.492770,0.517047,0.391568,0.621119,
B Replicates,4.239375,4.187708,3.724375,0.168333,4.045000,2.604375,1.323542,3.137708,
,1.630208,3.278125,2.248750,1.562708,1.358750,2.603333,2.771042,1.461042,
,1.510208,3.518958,4.297292,1.333542,2.427500,0.542708,4.867708,2.241875,
,1.392500,2.692083,1.813542,3.292917,1.110833,0.897292,4.645208,1.793958,
