Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate1 5 uM CNO(000)(000)_NeuralEventDetector_LFPneuralMetrics.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,9668.166667,20212.583333,14553.833333,13754.666667,12143.083333,12603.666667,14797.666667,10537.000000,
B SEM,2649.651443,3826.508311,3583.474258,2398.398030,2989.849610,3352.379951,1680.502632,2645.336508,
B Replicates,18564.000000,21510.000000,21502.000000,12435.000000,12646.000000,37786.000000,4427.000000,7846.000000,
,18039.000000,4510.000000,49076.000000,17628.000000,38177.000000,30312.000000,20058.000000,15420.000000,
,9754.000000,24474.000000,10711.000000,9910.000000,9381.000000,2067.000000,18433.000000,13291.000000,
,5328.000000,6706.000000,12860.000000,22651.000000,20534.000000,6475.000000,17990.000000,34165.000000,
,1851.000000,27576.000000,6829.000000,26600.000000,4042.000000,11294.000000,23175.000000,7272.000000,
,2352.000000,11765.000000,11635.000000,27528.000000,1926.000000,4839.000000,16064.000000,4671.000000,
,3091.000000,17492.000000,6389.000000,6137.000000,15644.000000,5216.000000,15477.000000,17898.000000,
,30826.000000,46334.000000,14993.000000,3803.000000,6454.000000,5655.000000,10530.000000,4435.000000,
,2971.000000,25687.000000,5523.000000,8066.000000,8687.000000,7678.000000,12684.000000,1955.000000,
,15576.000000,37811.000000,16962.000000,14562.000000,9002.000000,19121.000000,19957.000000,4913.000000,
,5457.000000,16149.000000,17889.000000,12024.000000,18957.000000,18940.000000,13517.000000,12941.000000,
,2209.000000,2537.000000,277.000000,3712.000000,267.000000,1861.000000,5260.000000,1637.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.014201,4.210955,3.032049,2.865556,2.529809,2.625764,3.082847,2.195208,
B SEM,0.552011,0.797189,0.746557,0.499666,0.622885,0.698412,0.350105,0.551112,
B Replicates,3.867500,4.481250,4.479583,2.590625,2.634583,7.872083,0.922292,1.634583,
,3.758125,0.939583,10.224167,3.672500,7.953542,6.315000,4.178750,3.212500,
,2.032083,5.098750,2.231458,2.064583,1.954375,0.430625,3.840208,2.768958,
,1.110000,1.397083,2.679167,4.718958,4.277917,1.348958,3.747917,7.117708,
,0.385625,5.745000,1.422708,5.541667,0.842083,2.352917,4.828125,1.515000,
,0.490000,2.451042,2.423958,5.735000,0.401250,1.008125,3.346667,0.973125,
,0.643958,3.644167,1.331042,1.278542,3.259167,1.086667,3.224375,3.728750,
,6.422083,9.652917,3.123542,0.792292,1.344583,1.178125,2.193750,0.923958,
,0.618958,5.351458,1.150625,1.680417,1.809792,1.599583,2.642500,0.407292,
,3.245000,7.877292,3.533750,3.033750,1.875417,3.983542,4.157708,1.023542,
,1.136875,3.364375,3.726875,2.505000,3.949375,3.945833,2.816042,2.696042,
,0.460208,0.528542,0.057708,0.773333,0.055625,0.387708,1.095833,0.341042,


    ISI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.864443,8.402851,8.376026,7.955193,7.486044,7.279505,6.338241,8.158531,
B SEM,0.712346,0.661380,1.008784,0.867968,0.452061,0.296676,0.247596,0.762663,
B Replicates,11.402811,4.307162,15.123602,4.082449,6.913465,6.169135,7.274154,7.260331,
,9.351174,11.174682,7.926788,9.213452,7.667844,8.344551,7.020420,5.484555,
,6.933626,7.292645,8.981398,6.548118,6.092787,7.910631,6.317018,5.822062,
,6.571084,10.656783,9.237388,6.275228,5.741726,7.524346,5.741619,8.790344,
,12.028366,6.020167,11.175306,8.550530,7.906443,6.669997,5.274682,7.809873,
,6.207219,7.355493,6.479253,5.065483,6.147885,7.235895,7.166448,9.838103,
,11.739319,8.904625,6.203498,5.225729,8.918625,8.245424,7.605840,12.687477,
,9.970377,9.662617,11.960293,12.517126,7.796830,6.633363,6.371678,8.444142,
,8.645383,6.166397,9.489877,9.953590,9.422667,8.702728,5.315727,13.187788,
,5.473303,9.428660,7.029165,13.829599,10.673855,5.937346,4.987057,7.411683,
,11.589990,11.884781,5.318204,6.348246,6.853761,8.230199,6.332799,5.976723,
,6.460668,7.980202,1.587536,7.852770,5.696645,5.750443,6.651445,5.189296,


    Network ISI Coefficient of Variation
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,22.324232,22.538033,20.504787,16.471372,17.977078,18.578236,13.576363,17.549062,
B SEM,2.645283,2.053871,3.089028,2.715556,1.961801,1.425994,1.583933,2.372050,
B Replicates,32.755897,11.132457,43.745818,9.829715,12.711264,17.300551,9.931507,13.614046,
,3.048567,31.664247,22.656178,25.599604,22.017200,23.838649,19.820733,15.136220,
,15.484574,20.686099,13.644184,18.570874,17.747047,17.822952,9.282165,16.619048,
,18.552578,31.532200,26.566390,16.946463,16.715983,19.688105,16.381863,24.551478,
,28.402410,15.103241,32.379325,9.486872,23.870272,9.800712,5.420286,20.307558,
,18.767455,19.510736,17.951455,14.144595,17.793474,14.644853,20.443651,7.068022,
,35.505303,26.168966,8.689658,3.829525,23.170736,23.286320,9.502853,36.057383,
,29.197918,27.086730,3.823064,10.921434,22.532070,19.268666,18.458002,24.768959,
,25.412146,12.735830,25.183308,21.237725,27.047169,25.143856,15.361477,18.035510,
,15.422729,26.957712,19.576374,39.418759,9.114932,16.914771,14.047482,5.809027,
,27.881478,28.481646,15.290675,17.917024,19.724200,23.714678,5.391507,14.713348,
,17.459727,19.396534,16.551016,9.753872,3.280593,11.514723,18.874830,13.908147,


    Fano Factor
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,44.583673,43.333991,42.406884,29.136717,30.958850,32.510373,23.040998,39.225544,
B SEM,6.147654,7.510421,7.881550,4.448337,3.974521,4.008853,2.657530,8.228259,
B Replicates,54.174075,12.708015,53.997117,14.795920,25.358439,14.243769,35.897842,33.256591,
,48.409480,66.919655,18.495327,30.517570,23.124846,34.982333,24.710771,11.832400,
,30.266999,37.436039,59.239454,24.835978,21.553493,68.691250,18.390374,15.955850,
,30.466865,65.561790,62.353193,23.744662,16.401129,26.551926,14.535965,40.152496,
,48.944257,16.257709,24.967039,28.146281,37.829964,29.815913,11.874730,34.894636,
,26.590329,29.869122,23.195260,5.644642,17.007732,33.732607,29.477360,55.901403,
,73.369645,31.331712,30.701161,18.568045,37.094714,38.002539,28.472172,57.524526,
,50.536413,46.862084,105.746135,57.631416,24.251814,25.198728,24.690032,35.795799,
,49.248458,16.775004,65.026909,25.450915,33.675558,36.441467,11.550061,117.532586,
,13.013516,54.342886,24.876894,50.885651,67.317762,15.041358,12.114837,24.541176,
,86.897759,102.573638,10.658699,21.833072,30.752622,36.962299,27.609980,21.212658,
,23.086284,39.370233,29.625419,47.586452,37.138125,30.460293,37.167847,22.106404,


    Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.916667,8.000000,7.500000,7.750000,7.500000,8.000000,8.000000,7.916667,
B SEM,0.083333,0.000000,0.500000,0.130558,0.417424,0.000000,0.000000,0.083333,
B Replicates,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,2.000000,8.000000,3.000000,8.000000,8.000000,7.000000,


    Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.019680,4.210955,3.035504,2.930412,2.572750,2.625764,3.082847,2.198594,
B SEM,0.550634,0.797189,0.745313,0.490846,0.626697,0.698412,0.350105,0.550086,
B Replicates,3.867500,4.481250,4.479583,2.957381,2.634583,7.872083,0.922292,1.634583,
,3.758125,0.939583,10.224167,3.672500,7.953542,6.315000,4.178750,3.212500,
,2.032083,5.098750,2.231458,2.064583,1.954375,0.430625,3.840208,2.768958,
,1.110000,1.397083,2.679167,4.718958,4.277917,1.348958,3.747917,7.117708,
,0.385625,5.745000,1.422708,5.541667,0.842083,2.352917,4.828125,1.515000,
,0.490000,2.451042,2.423958,5.735000,0.401250,1.008125,3.346667,0.973125,
,0.643958,3.644167,1.331042,1.460238,3.724524,1.086667,3.224375,3.728750,
,6.422083,9.652917,3.123542,0.792292,1.344583,1.178125,2.193750,0.923958,
,0.618958,5.351458,1.150625,1.910238,1.809792,1.599583,2.642500,0.407292,
,3.245000,7.877292,3.533750,3.033750,1.875417,3.983542,4.157708,1.023542,
,1.136875,3.364375,3.726875,2.505000,3.949375,3.945833,2.816042,2.696042,
,0.525952,0.528542,0.099167,0.773333,0.105556,0.387708,1.095833,0.381667,


    Number of Bursts
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,394.583333,780.666667,571.666667,507.416667,587.583333,538.500000,533.250000,378.166667,
B SEM,123.320380,187.337377,199.241149,81.808485,163.787115,145.390097,71.355929,92.451038,
B Replicates,570.000000,1078.000000,830.000000,576.000000,466.000000,1475.000000,105.000000,248.000000,
,634.000000,162.000000,2653.000000,655.000000,1954.000000,1515.000000,727.000000,616.000000,
,352.000000,832.000000,503.000000,468.000000,321.000000,127.000000,728.000000,488.000000,
,230.000000,213.000000,415.000000,957.000000,1280.000000,219.000000,688.000000,1014.000000,
,68.000000,922.000000,276.000000,744.000000,152.000000,509.000000,821.000000,168.000000,
,101.000000,300.000000,316.000000,955.000000,120.000000,123.000000,549.000000,190.000000,
,113.000000,550.000000,245.000000,261.000000,794.000000,185.000000,482.000000,912.000000,
,1537.000000,2318.000000,378.000000,191.000000,361.000000,304.000000,419.000000,145.000000,
,97.000000,1045.000000,147.000000,288.000000,358.000000,426.000000,502.000000,94.000000,
,722.000000,1457.000000,460.000000,495.000000,290.000000,792.000000,855.000000,179.000000,
,195.000000,431.000000,630.000000,415.000000,947.000000,722.000000,400.000000,418.000000,
,116.000000,60.000000,7.000000,84.000000,8.000000,65.000000,123.000000,66.000000,


    Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.916667,8.000000,7.916667,7.750000,7.750000,8.000000,8.000000,8.000000,
B SEM,0.083333,0.000000,0.083333,0.130558,0.179435,0.000000,0.000000,0.000000,
B Replicates,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,6.000000,8.000000,8.000000,8.000000,


    Burst Duration - Avg (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.190982,0.194320,0.222554,0.162929,0.180868,0.180020,0.166315,0.186193,
B SEM,0.010734,0.013283,0.019170,0.014671,0.015741,0.016381,0.015577,0.010713,
B Replicates,0.166030,0.122487,0.129273,0.125345,0.161363,0.116114,0.226961,0.143842,
,0.163356,0.175662,0.133455,0.150553,0.131148,0.249613,0.218560,0.165718,
,0.172590,0.172036,0.204063,0.108785,0.216764,0.124028,0.135861,0.153130,
,0.241514,0.164169,0.186423,0.107802,0.146371,0.178135,0.105143,0.236811,
,0.212209,0.190001,0.195808,0.198026,0.167040,0.174894,0.127640,0.255990,
,0.200921,0.263312,0.316459,0.143856,0.146439,0.297028,0.142119,0.190948,
,0.212282,0.238641,0.191737,0.143161,0.198106,0.173649,0.167660,0.137900,
,0.159654,0.180434,0.289337,0.147050,0.122820,0.132398,0.140502,0.203280,
,0.249490,0.178713,0.290889,0.162801,0.178661,0.177383,0.139768,0.154527,
,0.117462,0.174684,0.222310,0.183748,0.222985,0.140404,0.132989,0.213013,
,0.195209,0.184081,0.190470,0.188642,0.156554,0.147870,0.164274,0.186475,
,0.201064,0.287622,0.320423,0.295382,0.322160,0.248727,0.294308,0.192676,


    Burst Duration - Std (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.098867,0.073685,0.106828,0.050921,0.083898,0.059160,0.058339,0.076364,
B SEM,0.013358,0.009969,0.020141,0.005767,0.010859,0.009700,0.009022,0.015347,
B Replicates,0.041977,0.029372,0.052194,0.049818,0.109633,0.035531,0.120852,0.035520,
,0.044114,0.044069,0.074429,0.041888,0.046482,0.029283,0.089594,0.053195,
,0.041546,0.064230,0.074521,0.016937,0.054875,0.046437,0.049623,0.029199,
,0.183830,0.086192,0.052884,0.021837,0.076658,0.093178,0.014764,0.222248,
,0.108495,0.092163,0.083040,0.077208,0.086238,0.086061,0.038997,0.063389,
,0.092360,0.083923,0.199670,0.052810,0.124641,0.131669,0.042166,0.065886,
,0.146876,0.141285,0.073623,0.065895,0.093008,0.044538,0.046191,0.013628,
,0.097610,0.043952,0.156350,0.078173,0.039614,0.045560,0.054872,0.102447,
,0.157705,0.056120,0.276694,0.046196,0.068480,0.094468,0.043503,0.089193,
,0.084303,0.050043,0.079581,0.051179,0.146415,0.039619,0.056531,0.068226,
,0.111766,0.063058,0.050103,0.037290,0.031748,0.040264,0.035985,0.082206,
,0.075819,0.129814,0.108852,0.071822,0.128983,0.023312,0.106989,0.091228,


    Burst Duration (Median) - Avg (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.187499,0.178102,0.202692,0.153974,0.164145,0.168518,0.156336,0.175501,
B SEM,0.013022,0.017528,0.022824,0.015258,0.017845,0.016972,0.015625,0.011787,
