Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate3  5uM CNO(000)(000)_NeuralEventDetector_LFPneuralMetrics.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0 


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,9642.333333,12685.916667,13183.750000,7861.333333,9888.250000,10599.666667,13881.166667,13579.000000,
B SEM,1711.949249,2594.814168,1437.824652,1137.048521,2136.083985,1853.673659,1697.806588,2990.262690,
B Replicates,6229.000000,13306.000000,11248.000000,1052.000000,14243.000000,16925.000000,7594.000000,13507.000000,
,6189.000000,9873.000000,7465.000000,7463.000000,3826.000000,5277.000000,10745.000000,4323.000000,
,3219.000000,14275.000000,14408.000000,6904.000000,4048.000000,1483.000000,14118.000000,10104.000000,
,4424.000000,8871.000000,5010.000000,13201.000000,3259.000000,2604.000000,15222.000000,3776.000000,
,6806.000000,7448.000000,15146.000000,10183.000000,6306.000000,4465.000000,15425.000000,11389.000000,
,3787.000000,2401.000000,7700.000000,5861.000000,5716.000000,10350.000000,13995.000000,11470.000000,
,5521.000000,6983.000000,11710.000000,13487.000000,7091.000000,12185.000000,14964.000000,6704.000000,
,17311.000000,7832.000000,13539.000000,9373.000000,9609.000000,6008.000000,8010.000000,8445.000000,
,10396.000000,36802.000000,21323.000000,11474.000000,15280.000000,18302.000000,14876.000000,39266.000000,
,18003.000000,10125.000000,17971.000000,8090.000000,29072.000000,19234.000000,14531.000000,14146.000000,
,16401.000000,21951.000000,19718.000000,4712.000000,14179.000000,14466.000000,29644.000000,28945.000000,
,17422.000000,12364.000000,12967.000000,2536.000000,6030.000000,15897.000000,7450.000000,10873.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.008819,2.642899,2.746615,1.637778,2.060052,2.208264,2.891910,2.828958,
B SEM,0.356656,0.540586,0.299547,0.236885,0.445018,0.386182,0.353710,0.622971,
B Replicates,1.297708,2.772083,2.343333,0.219167,2.967292,3.526042,1.582083,2.813958,
,1.289375,2.056875,1.555208,1.554792,0.797083,1.099375,2.238542,0.900625,
,0.670625,2.973958,3.001667,1.438333,0.843333,0.308958,2.941250,2.105000,
,0.921667,1.848125,1.043750,2.750208,0.678958,0.542500,3.171250,0.786667,
,1.417917,1.551667,3.155417,2.121458,1.313750,0.930208,3.213542,2.372708,
,0.788958,0.500208,1.604167,1.221042,1.190833,2.156250,2.915625,2.389583,
,1.150208,1.454792,2.439583,2.809792,1.477292,2.538542,3.117500,1.396667,
,3.606458,1.631667,2.820625,1.952708,2.001875,1.251667,1.668750,1.759375,
,2.165833,7.667083,4.442292,2.390417,3.183333,3.812917,3.099167,8.180417,
,3.750625,2.109375,3.743958,1.685417,6.056667,4.007083,3.027292,2.947083,
,3.416875,4.573125,4.107917,0.981667,2.953958,3.013750,6.175833,6.030208,
,3.629583,2.575833,2.701458,0.528333,1.256250,3.311875,1.552083,2.265208,


    ISI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.755297,9.165019,9.461270,6.786935,8.009887,8.380445,7.499701,8.791729,
B SEM,0.414384,0.332330,0.644524,0.775352,0.530327,0.705352,0.606312,0.555887,
B Replicates,6.360557,9.361091,7.646106,2.488675,5.594442,12.472937,2.390594,5.095871,
,7.792204,9.559362,12.342022,4.763412,8.230059,7.797500,9.750056,7.768593,
,8.046513,11.233204,5.271344,4.404947,6.292939,4.862997,7.481832,7.944944,
,8.346332,7.914359,6.866656,7.864600,6.453385,7.139641,9.769943,7.096347,
,9.324920,10.661783,10.724934,10.509520,7.280257,7.238256,8.384422,11.486054,
,9.996787,9.604748,11.638386,7.277743,9.918191,9.807781,8.712659,9.779863,
,10.579167,8.971028,12.085844,8.301987,8.045060,7.696428,6.145818,10.880570,
,10.541402,8.430433,10.080707,7.449771,10.841670,11.009494,9.110145,11.415214,
,8.974492,7.393019,9.235653,8.233901,9.976876,11.809028,8.232121,7.364999,
,8.804866,10.175356,10.635189,6.547558,10.308049,8.463859,6.617789,9.532593,
,9.903737,8.377909,9.524851,10.735328,7.082619,7.156698,5.489837,8.971209,
,6.392585,8.297935,7.483544,2.865776,6.095099,5.110726,7.911196,8.164496,


    Network ISI Coefficient of Variation
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,20.511626,20.127478,22.237928,18.229094,19.765241,21.582142,17.379565,23.729064,
B SEM,2.580568,2.360867,2.878078,2.528268,1.722918,2.539876,2.184698,1.664008,
B Replicates,4.072203,26.676170,10.566920,4.786509,7.488692,28.153871,4.421370,12.636758,
,13.108102,26.841112,31.731878,11.770936,20.392211,9.765693,11.175405,22.084272,
,23.468052,29.921751,10.469196,11.984482,18.259884,14.754666,21.608334,18.556106,
,24.195783,8.044918,18.558117,22.999703,17.771513,17.327605,26.575300,20.872348,
,26.664744,15.974244,22.426978,27.780751,19.224029,22.197529,24.097324,29.891421,
,29.007863,19.675051,30.793347,21.104732,29.076007,27.962278,10.865762,25.767203,
,21.656200,19.548737,32.645856,24.668698,24.442036,22.483419,9.080839,31.591120,
,29.123821,1.812827,29.827990,20.501482,29.317842,32.386678,26.084848,32.964358,
,4.243167,22.033006,25.801760,23.943301,19.681947,33.922382,23.914174,20.843842,
,25.595412,26.009000,30.444208,15.454208,15.858107,24.876539,15.031769,22.266038,
,27.385371,21.233462,2.369291,30.468599,20.249559,20.325432,13.360454,25.237622,
,17.618793,23.759464,21.219598,3.285731,15.421064,4.829606,22.339199,22.037682,


    Fano Factor
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,55.182051,65.353759,61.077690,30.371477,46.779494,49.328267,39.268065,48.109622,
B SEM,4.372382,6.341440,7.177012,5.181416,6.205873,5.628354,6.267810,6.366681,
B Replicates,35.016457,57.130752,47.438937,7.845019,26.638957,81.583435,4.702956,13.188147,
,49.494944,54.366911,60.845262,16.164945,46.978228,53.626604,78.193032,38.283176,
,46.822503,86.878008,14.138671,12.631662,21.258040,19.376803,33.441451,50.514443,
,51.997202,52.719888,38.182693,34.889139,32.564011,45.264243,56.249083,35.542742,
,69.262092,106.304651,85.532327,66.107045,34.459993,34.632794,34.111022,66.045461,
,60.109292,60.660437,101.251112,26.684305,54.882879,56.831695,55.976646,75.212744,
,76.823541,69.199165,83.387952,57.511338,49.255747,36.665768,33.115135,74.003467,
,57.592536,88.223326,48.492218,33.798523,73.620874,60.407348,67.488333,72.875626,
,72.938882,26.169398,61.643455,39.674388,81.445213,85.009386,42.444846,15.872636,
,53.568957,81.845486,75.317407,29.237921,79.786587,47.217496,21.018381,60.274707,
,63.672071,48.962801,78.347363,28.780846,34.799352,34.525700,15.519775,45.778136,
,24.886137,51.784289,38.354881,11.132594,25.664048,36.797933,28.956126,29.724181,


    Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.000000,7.583333,8.000000,7.666667,8.000000,7.666667,7.666667,8.000000,
B SEM,0.000000,0.336162,0.000000,0.333333,0.000000,0.256235,0.256235,0.000000,
B Replicates,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,5.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,5.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


    Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.008819,2.719789,2.746615,1.652882,2.060052,2.246358,3.005945,2.828958,
B SEM,0.356656,0.529928,0.299547,0.229013,0.445018,0.373701,0.338986,0.622971,
B Replicates,1.297708,2.772083,2.343333,0.400417,2.967292,3.526042,2.516333,2.813958,
,1.289375,2.056875,1.555208,1.554792,0.797083,1.255000,2.238542,0.900625,
,0.670625,3.396429,3.001667,1.438333,0.843333,0.308958,2.941250,2.105000,
,0.921667,1.848125,1.043750,2.750208,0.678958,0.844000,3.171250,0.786667,
,1.417917,1.551667,3.155417,2.121458,1.313750,0.930208,3.213542,2.372708,
,0.788958,1.000417,1.604167,1.221042,1.190833,2.156250,2.915625,2.389583,
,1.150208,1.454792,2.439583,2.809792,1.477292,2.538542,3.551667,1.396667,
,3.606458,1.631667,2.820625,1.952708,2.001875,1.251667,1.668750,1.759375,
,2.165833,7.667083,4.442292,2.390417,3.183333,3.812917,3.099167,8.180417,
,3.750625,2.109375,3.743958,1.685417,6.056667,4.007083,3.027292,2.947083,
,3.416875,4.573125,4.107917,0.981667,2.953958,3.013750,6.175833,6.030208,
,3.629583,2.575833,2.701458,0.528333,1.256250,3.311875,1.552083,2.265208,


    Number of Bursts
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,372.166667,467.750000,468.916667,335.833333,357.916667,449.833333,509.583333,442.000000,
B SEM,58.100336,96.125007,49.873090,42.489185,67.426330,81.749788,61.957153,69.761716,
B Replicates,212.000000,373.000000,354.000000,47.000000,561.000000,422.000000,569.000000,590.000000,
,284.000000,256.000000,185.000000,385.000000,143.000000,162.000000,279.000000,189.000000,
,187.000000,603.000000,655.000000,404.000000,202.000000,84.000000,571.000000,300.000000,
,242.000000,457.000000,294.000000,554.000000,173.000000,134.000000,485.000000,248.000000,
,370.000000,262.000000,547.000000,457.000000,237.000000,213.000000,552.000000,407.000000,
,142.000000,91.000000,309.000000,296.000000,265.000000,406.000000,469.000000,318.000000,
,256.000000,314.000000,461.000000,471.000000,210.000000,678.000000,476.000000,232.000000,
,665.000000,205.000000,526.000000,342.000000,334.000000,329.000000,286.000000,268.000000,
,455.000000,1370.000000,552.000000,450.000000,531.000000,878.000000,534.000000,996.000000,
,785.000000,468.000000,824.000000,256.000000,949.000000,911.000000,544.000000,604.000000,
,325.000000,701.000000,436.000000,192.000000,465.000000,542.000000,1084.000000,715.000000,
,543.000000,513.000000,484.000000,176.000000,225.000000,639.000000,266.000000,437.000000,


    Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.000000,7.500000,8.000000,7.750000,7.916667,7.583333,7.666667,8.000000,
B SEM,0.000000,0.337100,0.000000,0.250000,0.083333,0.336162,0.256235,0.000000,
B Replicates,8.000000,8.000000,8.000000,5.000000,8.000000,8.000000,5.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


    Burst Duration - Avg (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.230652,0.226984,0.223638,0.158666,0.199108,0.210577,0.163137,0.221169,
B SEM,0.022759,0.018066,0.015174,0.014826,0.015331,0.015105,0.012195,0.013231,
B Replicates,0.160939,0.182162,0.216247,0.130594,0.135841,0.312018,0.062812,0.152634,
,0.188262,0.243123,0.263854,0.098654,0.237196,0.268308,0.243348,0.230962,
,0.192259,0.185416,0.244677,0.096275,0.247640,0.209171,0.152024,0.287558,
,0.151631,0.153824,0.158647,0.216320,0.114676,0.199032,0.169268,0.212417,
,0.216770,0.276084,0.246653,0.173663,0.232334,0.174880,0.133510,0.217885,
,0.227630,0.276777,0.188687,0.128794,0.173958,0.182930,0.168807,0.279542,
,0.228591,0.275688,0.187222,0.176103,0.251514,0.165152,0.187708,0.239216,
,0.275176,0.245861,0.194747,0.230720,0.191406,0.223645,0.191568,0.235011,
,0.184963,0.358175,0.338606,0.167864,0.237352,0.176228,0.162400,0.230610,
,0.259443,0.177941,0.187512,0.230831,0.262675,0.282691,0.143826,0.186363,
,0.451771,0.196295,0.281205,0.168962,0.181246,0.196495,0.162653,0.249072,
,0.230393,0.152463,0.175601,0.085212,0.123453,0.136374,0.179723,0.132760,


    Burst Duration - Std (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.093865,0.061650,0.084413,0.059636,0.073722,0.100600,0.047524,0.102287,
B SEM,0.025309,0.011089,0.010405,0.007927,0.009148,0.030719,0.005107,0.018850,
B Replicates,0.088949,0.037027,0.135702,0.094756,0.046658,0.140450,0.011161,0.125146,
,0.041715,0.055371,0.043280,0.032266,0.062927,0.132082,0.074323,0.105166,
,0.039555,0.032480,0.083906,0.065690,0.053765,0.094824,0.042467,0.212798,
,0.025738,0.030817,0.067452,0.032848,0.038434,0.038062,0.057016,0.058082,
,0.037487,0.095705,0.101679,0.035872,0.084958,0.069598,0.044373,0.030055,
,0.074972,0.024828,0.082569,0.039011,0.063028,0.077965,0.048718,0.230139,
,0.101503,0.028533,0.057284,0.064230,0.132887,0.037518,0.034749,0.117313,
,0.190858,0.115031,0.083084,0.079039,0.076098,0.029439,0.046320,0.080520,
,0.030580,0.134137,0.163350,0.060347,0.128447,0.026647,0.072343,0.037696,
,0.030592,0.097236,0.068095,0.109574,0.098727,0.416937,0.028306,0.051368,
,0.318609,0.054356,0.088293,0.078634,0.049508,0.059064,0.056930,0.127350,
,0.145825,0.034274,0.038267,0.023367,0.049226,0.084616,0.053587,0.051809,


    Burst Duration (Median) - Avg (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.161922,0.140447,0.184598,0.147668,0.177000,0.175068,0.152606,0.187397,
B SEM,0.029483,0.015082,0.017747,0.015106,0.017194,0.019310,0.012053,0.018723,
B Replicates,0.150535,0.183980,0.198475,0.104736,0.122955,0.293925,0.052280,0.144220,
,0.096930,0.227160,0.264055,0.096060,0.226445,0.267611,0.234820,0.215140,
,0.087570,0.115074,0.243510,0.087810,0.263445,0.231065,0.151320,0.285445,
,0.107860,0.100430,0.130845,0.205045,0.091395,0.103480,0.156700,0.097315,
,0.108740,0.115223,0.183875,0.137825,0.231817,0.164850,0.130350,0.213795,
,0.186725,0.084140,0.137895,0.121880,0.116665,0.148490,0.165760,0.267690,
,0.170105,0.081995,0.111340,0.164385,0.250190,0.116940,0.177531,0.157765,
,0.181820,0.111515,0.155415,0.224350,0.133115,0.145000,0.177300,0.207505,
,0.089965,0.206125,0.261060,0.161065,0.204130,0.091780,0.155610,0.234005,
,0.104820,0.103450,0.115985,0.227760,0.197220,0.228760,0.132925,0.089805,
,0.458925,0.207985,0.272715,0.163860,0.170840,0.189850,0.148250,0.218235,
,0.199065,0.148285,0.140005,0.077240,0.115785,0.119060,0.148425,0.117840,


    Burst Duration (Median) - Std (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.082884,0.049690,0.073447,0.055954,0.067139,0.106678,0.042033,0.088355,
B SEM,0.023845,0.012500,0.012467,0.008315,0.009864,0.034438,0.004586,0.020317,
B Replicates,0.076515,0.044545,0.105010,0.060751,0.039004,0.129872,0.007920,0.123506,
,0.032627,0.069078,0.046628,0.030055,0.066273,0.189063,0.055707,0.085710,
,0.038187,0.016819,0.080270,0.056830,0.036116,0.130298,0.038203,0.215940,
,0.039935,0.018076,0.069057,0.031693,0.041033,0.047615,0.049913,0.015515,
,0.022269,0.042664,0.097854,0.022949,0.095466,0.073878,0.043682,0.037802,
,0.072395,0.010379,0.063238,0.037839,0.042101,0.084125,0.048181,0.221455,
,0.088329,0.007886,0.038777,0.061471,0.140792,0.015873,0.038444,0.054767,
,0.159407,0.060038,0.074523,0.075277,0.043849,0.025924,0.040269,0.065868,
,0.013493,0.169593,0.182520,0.061150,0.114685,0.012110,0.072596,0.042228,
,0.013072,0.065886,0.025609,0.113703,0.083293,0.447092,0.023186,0.024287,
,0.297061,0.048861,0.075826,0.096126,0.051019,0.058015,0.043553,0.128512,
,0.141314,0.042461,0.022053,0.023605,0.052032,0.066269,0.042739,0.044664,


    Number of Spikes per Burst - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,24.549906,26.618495,28.104535,20.967821,25.034729,23.296910,27.080367,28.671539,
B SEM,2.896334,1.860046,2.264712,1.947909,1.571865,2.483652,1.893374,2.405852,
B Replicates,24.865325,35.625024,30.739460,9.274815,23.954201,42.007877,9.309199,21.654025,
,20.933954,38.834631,40.182292,17.925949,25.459676,32.037632,37.794748,22.861822,
,14.692619,23.834837,20.655098,14.264417,18.858682,13.100000,24.686450,33.284675,
,16.914005,15.627509,16.356451,23.521040,12.072552,16.978840,31.279113,11.637411,
,16.171977,29.454430,27.670003,22.315144,25.230681,18.736619,27.920290,27.906997,
,27.325228,25.897538,23.748579,19.682432,21.033985,25.742958,29.338453,37.003817,
,21.973271,20.237400,25.387711,27.323289,28.200621,17.507318,30.100840,31.130931,
,27.877938,25.331207,25.392202,26.383281,29.164719,14.804926,28.095601,31.232323,
,20.592541,26.524455,41.433250,24.477587,29.995607,19.897679,27.312745,38.780922,
,21.234009,23.122839,22.105624,31.332031,29.607467,32.277411,25.904655,24.037458,
,52.726532,31.539412,37.081270,24.161101,30.300226,26.336326,25.776161,40.555217,
,29.291478,23.392653,26.502483,10.952765,26.538331,20.135340,27.446152,23.972870,


    Number of Spikes per Burst - Std
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,12.206240,11.656809,11.769833,8.226196,12.890067,14.872524,8.121831,12.664675,
B SEM,2.321394,1.570010,1.225979,1.201918,1.526412,3.830375,0.997128,1.344919,
B Replicates,9.174562,8.352140,9.483208,6.465661,6.128038,25.549874,2.141340,11.242257,
,6.683550,12.318192,10.959089,5.900873,10.393723,23.994024,5.450534,12.412743,
,7.130990,5.733980,6.252310,7.526543,6.420874,8.579578,10.943470,18.807599,
,6.759466,8.676531,10.154692,11.619523,7.309040,3.342985,9.135808,5.561053,
,8.483119,17.137163,18.915824,7.131446,15.126686,14.641497,10.482548,7.187582,
