Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate3 basal(000)(000)_NeuralEventDetector_LFPneuralMetrics.csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,    Mean Firing Rate (Hz),0


    Number of Spikes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,6285.583333,7770.500000,8610.500000,6260.666667,7900.416667,7996.333333,8628.583333,11044.916667,
B SEM,1806.732969,1481.041098,1287.997844,620.839929,1864.700006,2075.223983,729.385768,2260.556376,
B Replicates,9623.000000,11946.000000,17076.000000,3062.000000,20048.000000,16571.000000,9789.000000,16769.000000,
,512.000000,4536.000000,5235.000000,4959.000000,2145.000000,1889.000000,6623.000000,2481.000000,
,2114.000000,10207.000000,7362.000000,5108.000000,1366.000000,768.000000,10617.000000,6005.000000,
,1510.000000,4519.000000,1987.000000,6796.000000,1444.000000,613.000000,12282.000000,1981.000000,
,1973.000000,4203.000000,9470.000000,7853.000000,4205.000000,2585.000000,6934.000000,7811.000000,
,1992.000000,1585.000000,2527.000000,4662.000000,5218.000000,7283.000000,6043.000000,11843.000000,
,4088.000000,3158.000000,8616.000000,7536.000000,5868.000000,3731.000000,9540.000000,4260.000000,
,5819.000000,6601.000000,8848.000000,7277.000000,4076.000000,2669.000000,6115.000000,12866.000000,
,6932.000000,10161.000000,7408.000000,11031.000000,9189.000000,13855.000000,8060.000000,28717.000000,
,5169.000000,5790.000000,11399.000000,7449.000000,19453.000000,13715.000000,11364.000000,12098.000000,
,22037.000000,20239.000000,8207.000000,5213.000000,11678.000000,10019.000000,11439.000000,19822.000000,
,13658.000000,10301.000000,15191.000000,4182.000000,10115.000000,22258.000000,4737.000000,7886.000000,


    Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,1.305146,1.613476,1.787894,1.299972,1.640452,1.660368,1.791649,2.293380,
B SEM,0.375152,0.307525,0.267441,0.128912,0.387189,0.430902,0.151451,0.469385,
B Replicates,1.998131,2.480482,3.545681,0.635797,4.162791,3.440822,2.032600,3.481935,
,0.106312,0.941860,1.087002,1.029693,0.445390,0.392234,1.375208,0.515158,
,0.438953,2.119394,1.528654,1.060631,0.283638,0.159468,2.204527,1.246885,
,0.313538,0.938331,0.412583,1.411130,0.299834,0.127284,2.550249,0.411337,
,0.409676,0.872716,1.966362,1.630606,0.873131,0.536752,1.439784,1.621885,
,0.413621,0.329111,0.524709,0.968023,1.083472,1.512251,1.254776,2.459095,
,0.848837,0.655731,1.789037,1.564784,1.218439,0.774709,1.980897,0.884551,
,1.208264,1.370640,1.837209,1.511005,0.846346,0.554194,1.269726,2.671512,
,1.439369,2.109842,1.538206,2.290490,1.908015,2.876869,1.673588,5.962832,
,1.073297,1.202243,2.366902,1.546719,4.039244,2.847799,2.359635,2.512043,
,4.575789,4.202450,1.704111,1.082434,2.424834,2.080357,2.375208,4.115864,
,2.835963,2.138912,3.154277,0.868355,2.100291,4.621678,0.983596,1.637458,


    ISI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.430046,9.727133,10.161032,7.268022,8.165332,9.035170,7.786109,8.921454,
B SEM,0.646620,0.297232,0.871519,0.717809,0.650235,0.532666,0.720400,0.713240,
B Replicates,7.084828,10.187409,7.052472,3.485719,6.146344,12.241157,2.326707,5.942156,
,2.805159,9.886120,10.559025,5.431800,7.133019,8.531149,10.037610,9.348539,
,7.425079,10.384395,6.095934,4.326751,7.068675,9.191902,7.404529,8.915438,
,9.882145,8.019745,6.378589,8.597735,6.483091,9.121777,9.088806,5.840137,
,10.923680,11.204162,11.259180,10.282210,5.455974,7.135670,10.397984,9.158662,
,8.371912,9.077870,11.847073,8.451476,9.461423,8.682200,10.417918,9.698017,
,9.168340,8.673945,11.039675,11.117237,6.925952,8.881612,4.932175,14.061828,
,10.994335,9.166592,8.839473,8.631752,12.088432,9.916834,10.470176,7.698956,
,8.244603,8.490065,13.115014,8.105365,11.402905,11.416047,6.759733,6.569887,
,8.504895,10.496130,12.505817,7.455512,11.086027,7.433111,7.163610,10.691409,
,10.433563,11.074446,15.776854,7.520179,7.812469,10.353972,6.668492,11.860262,
,7.322016,10.064719,7.463276,3.810525,6.919669,5.516605,7.765564,7.272151,


    Network ISI Coefficient of Variation
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,20.145173,20.584217,21.997005,19.396749,21.421972,22.181645,18.028458,24.008603,
B SEM,2.582570,2.336375,3.114714,2.300655,1.967210,2.168993,2.174082,2.472441,
B Replicates,6.444583,29.066728,10.792805,7.748511,17.324730,26.876844,4.585282,15.709707,
,5.624219,25.533575,27.592832,13.599599,9.914766,11.051160,12.921069,27.314608,
,21.880747,27.729504,6.327879,13.019583,20.491009,21.102045,21.150131,9.477974,
,28.948396,10.497074,15.961028,25.187445,15.310410,19.202583,24.864941,16.788185,
,24.532562,18.559921,23.888528,26.591917,15.046330,22.022664,29.575598,25.415599,
,24.399390,18.729868,32.179741,22.073036,27.913049,25.032250,12.641116,27.200156,
,23.963837,15.302781,31.759156,33.382322,20.544850,20.434913,6.935497,41.029640,
