Input File,Display Name,File Name,,,,,,
Baseline,B,Div13 H11 5th batch of gRNAs plate2(000)(000).csv,,,,,,
,,,,,,,,
Plot Selection,One File Per Plot,,,,,,,
Plot Display,Raw Values,,,,,,,
Error Bars,Standard Error,,,,,,,
Well Exclusion Criterion,Mean Firing Rate (Hz),0,,,,,,
,,,,,,,,
,,,,,,,,
Mean Firing Rate (Hz),,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,4.609297,6.255701,4.987614,7.045087,5.359539,4.267344,7.12614,8.379958
B SEM,0.455545,0.342567,0.574525,0.593351,0.455636,0.448368,0.704617,1.012686
B Replicates,6.845978,5.178275,3.820688,6.750415,3.882255,4.536277,3.797471,3.679312
,6.046642,7.577114,6.13495,4.630804,4.211028,3.187811,5.144693,7.872927
,3.233624,6.863391,8.474088,4.376244,6.101161,6.885158,9.177239,10.439469
,4.650083,7.549337,8.42869,7.441957,6.627073,3.075041,6.485282,6.405265
,4.386401,6.003939,2.749171,7.143657,6.286277,6.836857,4.439262,10.617952
,7.421227,5.551202,3.052239,7.365464,6.115257,1.656509,8.966418,4.975954
,3.415216,6.703151,3.146766,6.40796,3.655473,3.89801,8.809701,10.872098
,3.824627,3.871683,4.15568,10.86194,4.425788,5.146973,3.458126,3.844527
,3.125415,6.21704,5.366501,6.368574,4.58976,4.167703,8.570481,12.618574
,2.209577,5.10966,4.358209,11.001451,8.954187,2.702944,10.975954,6.694859
,4.944237,7.898425,3.759121,6.469942,3.674544,4.743988,8.578773,14.733209
,5.208541,6.545191,6.405265,5.722637,5.791667,4.370854,7.110282,7.805348
,,,,,,,,
,,,,,,,,
Number of Active Electrodes,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,7.5,7.833333,7.416667,7.916667,7.666667,7.583333,7.75,7.916667
B SEM,0.261116,0.112367,0.148647,0.083333,0.142134,0.148647,0.179435,0.083333
B Replicates,8,7,7,8,8,7,8,8
,8,8,7,7,8,7,7,8
,7,8,8,8,8,8,8,8
,7,8,8,8,8,7,8,8
,8,8,7,8,8,8,6,8
,8,8,7,8,7,8,8,8
,7,8,8,8,7,7,8,8
,5,7,7,8,7,8,8,8
,8,8,7,8,7,7,8,8
,8,8,7,8,8,8,8,8
,8,8,8,8,8,8,8,8
,8,8,8,8,8,8,8,7
,,,,,,,,
,,,,,,,,
Weighted Mean Firing Rate (Hz),,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,4.934542,6.363221,5.338605,7.100176,5.58281,4.491392,7.310699,8.472504
B SEM,0.446266,0.301229,0.557032,0.575255,0.44402,0.437034,0.657087,1.012141
B Replicates,6.845978,5.916134,4.366027,6.750415,3.882255,5.184317,3.797471,3.679312
,6.046642,7.577114,7.009713,5.291874,4.211028,3.642502,5.879649,7.872927
,3.694148,6.863391,8.474088,4.376244,6.101161,6.885158,9.177239,10.439469
,5.314144,7.549337,8.42869,7.441957,6.627073,3.511016,6.485282,6.405265
,4.386401,6.003939,3.131249,7.143657,6.286277,6.836857,5.919016,10.617952
,7.421227,5.551202,3.488273,7.365464,6.988865,1.656509,8.966418,4.975954
,3.903104,6.703151,3.146766,6.40796,4.177683,4.452499,8.809701,10.872098
,6.115091,4.42407,4.745084,10.86194,5.053542,5.146973,3.458126,3.844527
,3.125415,6.21704,6.129353,6.368574,5.245439,4.763089,8.570481,12.618574
,2.209577,5.10966,4.979626,11.001451,8.954187,2.702944,10.975954,6.694859
,4.944237,7.898425,3.759121,6.469942,3.674544,4.743988,8.578773,14.733209
,5.208541,6.545191,6.405265,5.722637,5.791667,4.370854,7.110282,8.915897
,,,,,,,,
,,,,,,,,
Number of Bursting Electrodes,,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,7.333333,7.666667,7.333333,7.916667,7.666667,7.333333,7.666667,7.75
B SEM,0.256235,0.188025,0.188025,0.083333,0.142134,0.142134,0.188025,0.130558
B Replicates,8,7,7,8,8,7,8,8
,8,8,7,7,8,7,7,8
,7,8,8,8,8,8,8,8
,7,8,8,8,8,7,8,8
,8,8,7,8,8,7,6,8
,8,8,7,8,7,7,8,8
,7,8,8,8,7,7,8,7
,5,6,7,8,7,8,8,8
,7,7,7,8,7,7,8,7
,8,8,6,8,8,8,8,8
,8,8,8,8,8,7,7,8
,7,8,8,8,8,8,8,7
,,,,,,,,
,,,,,,,,
Burst Frequency - Avg (Hz),,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,0.164845,0.197455,0.186543,0.241165,0.188638,0.168397,0.253926,0.255597
B SEM,0.014499,0.01385,0.021742,0.017542,0.016383,0.018171,0.013497,0.028433
B Replicates,0.177446,0.216773,0.145937,0.307629,0.108624,0.150912,0.196103,0.143657
,0.140755,0.253731,0.176498,0.239754,0.174959,0.127695,0.203506,0.213308
,0.153755,0.185531,0.245025,0.109867,0.17102,0.196517,0.293532,0.294569
,0.181237,0.21932,0.29374,0.175166,0.29063,0.131012,0.227819,0.151119
,0.192786,0.185738,0.147122,0.260779,0.199005,0.292111,0.21476,0.323798
,0.272803,0.125829,0.320066,0.232794,0.245676,0.081734,0.291667,0.184701
,0.178631,0.197139,0.116915,0.271144,0.169154,0.241886,0.229892,0.338072
,0.218574,0.136816,0.125089,0.310116,0.190002,0.243159,0.205431,0.164179
,0.118455,0.173419,0.263208,0.174751,0.176025,0.150912,0.284411,0.409382
,0.084577,0.150912,0.164456,0.300373,0.270522,0.100746,0.341833,0.194859
,0.126451,0.238599,0.08437,0.264511,0.106136,0.162284,0.286188,0.420191
,0.13267,0.285655,0.156095,0.247098,0.161899,0.141791,0.271973,0.22933
,,,,,,,,
,,,,,,,,
Burst Duration - Avg (s),,,,,,,,
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2
B Mean,0.215952,0.239898,0.229437,0.211979,0.215513,0.205776,0.177006,0.2409
