Input File,Display Name,File Name
Baseline,B,Div13 H11 5th batch of gRNAs plate3(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.542204,4.662073,4.718005,5.213100,4.466029,5.463342,6.333160,8.523815,
B SEM,0.971948,0.495600,0.543551,0.345595,0.529126,0.765763,0.800693,0.842029,
B Replicates,3.273710,5.305116,4.424293,4.044509,3.382072,9.119800,3.419925,6.924917,
,3.710067,2.664101,2.419925,6.645383,8.094010,10.700915,6.349626,6.813020,
,7.247712,6.588810,5.842346,3.346922,1.918677,2.297629,9.038686,7.460483,
,7.550333,3.450707,3.759983,4.306780,2.893095,3.361273,2.110649,11.708611,
,3.652246,2.902454,5.189476,6.207155,4.154534,4.009359,7.203203,4.746672,
,4.235025,7.490849,3.739393,3.547005,5.485233,5.387479,12.442180,7.495632,
,2.896839,5.680948,4.116473,5.770591,4.998544,3.837562,8.018511,7.851705,
,7.188228,6.158486,9.430948,5.039933,6.421589,5.161814,6.869800,15.335899,
,3.064892,4.426789,4.170341,5.763935,6.027662,7.012687,6.021631,9.423877,
,4.822587,2.624168,4.392263,5.750000,2.575707,2.718594,4.038270,8.488977,
,14.787022,5.745216,6.468386,7.039101,4.705907,4.126248,6.253328,10.599626,
,4.077787,2.907238,2.662230,5.095882,2.935316,7.826747,4.232113,5.436356,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.416667,7.333333,7.583333,7.583333,7.333333,7.583333,7.500000,7.750000,
B SEM,0.228908,0.188025,0.228908,0.148647,0.188025,0.192996,0.230283,0.130558,
B Replicates,8.000000,8.000000,6.000000,8.000000,7.000000,8.000000,8.000000,7.000000,
,7.000000,7.000000,6.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,7.000000,8.000000,6.000000,6.000000,8.000000,
,8.000000,6.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,7.000000,
,6.000000,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,
,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,6.000000,8.000000,7.000000,8.000000,
,6.000000,7.000000,7.000000,8.000000,7.000000,7.000000,6.000000,7.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.975855,5.031763,4.959483,5.466294,4.906420,5.664295,6.669972,8.795002,
B SEM,0.980746,0.477949,0.526225,0.300565,0.615958,0.719643,0.772897,0.829565,
B Replicates,3.273710,5.305116,5.896839,4.044509,3.865225,9.119800,3.419925,7.905871,
,4.237937,3.034229,3.219079,6.645383,9.242928,10.700915,6.349626,6.813020,
,8.282149,6.588810,5.842346,3.816496,2.191110,2.617780,9.038686,7.460483,
,8.628952,3.450707,3.759983,4.921797,2.893095,4.481143,2.813921,11.708611,
,3.652246,3.862729,5.189476,6.207155,4.739244,4.009359,7.203203,4.746672,
,4.235025,7.490849,3.739393,4.053245,5.485233,5.387479,12.442180,8.566437,
,3.860510,6.492512,4.116473,5.770591,4.998544,3.837562,9.164012,7.851705,
,7.188228,7.038270,9.430948,5.759686,6.421589,5.161814,6.869800,15.335899,
,3.064892,5.059187,4.170341,5.763935,8.036328,7.012687,6.880437,9.423877,
,6.421797,2.998812,5.018303,5.750000,2.943665,3.100547,5.372435,9.691467,
,14.787022,5.745216,6.468386,7.039101,4.705907,4.715712,6.253328,10.599626,
,4.077787,3.314714,2.662230,5.823627,3.354172,7.826747,4.232113,5.436356,


Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.250000,6.916667,7.416667,7.500000,7.000000,7.583333,7.333333,7.666667,
B SEM,0.217597,0.357990,0.287580,0.150756,0.213201,0.192996,0.284268,0.188025,
B Replicates,8.000000,8.000000,5.000000,8.000000,6.000000,8.000000,7.000000,7.000000,
,7.000000,7.000000,6.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,7.000000,8.000000,6.000000,5.000000,8.000000,
,8.000000,4.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,
,6.000000,7.000000,8.000000,7.000000,8.000000,8.000000,7.000000,8.000000,
,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,
,8.000000,6.000000,8.000000,8.000000,6.000000,8.000000,7.000000,8.000000,
,6.000000,6.000000,7.000000,8.000000,6.000000,7.000000,6.000000,6.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,6.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,


Burst Frequency - Avg (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.206190,0.179278,0.156166,0.229521,0.164897,0.187212,0.220110,0.256834,
B SEM,0.024759,0.012959,0.014513,0.017379,0.019196,0.020440,0.021821,0.018528,
B Replicates,0.136231,0.239393,0.214975,0.172629,0.167776,0.263519,0.163062,0.201331,
,0.180889,0.084383,0.109540,0.279742,0.191585,0.303453,0.207155,0.191556,
,0.263133,0.238561,0.144135,0.205372,0.074162,0.081531,0.218386,0.218178,
,0.286427,0.170549,0.127704,0.217495,0.129576,0.197726,0.080865,0.319260,
,0.108361,0.138935,0.137063,0.193428,0.126218,0.154534,0.261439,0.184692,
,0.148324,0.210275,0.113769,0.175897,0.133825,0.220258,0.325291,0.275018,
,0.193289,0.202044,0.142887,0.210364,0.247504,0.185524,0.319468,0.201331,
,0.242691,0.141669,0.257072,0.166389,0.224626,0.167845,0.283278,0.406614,
,0.098378,0.155574,0.113769,0.339850,0.308652,0.270591,0.279534,0.268303,
,0.214642,0.178314,0.161398,0.186772,0.126179,0.093178,0.147809,0.262895,
,0.404950,0.208611,0.231043,0.301581,0.116265,0.109342,0.200083,0.293677,
,0.196963,0.183028,0.120632,0.304730,0.132398,0.199043,0.154950,0.259151,


Burst Duration - Avg (s)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.188447,0.193462,0.232660,0.149634,0.221871,0.204003,0.195753,0.244915,
B SEM,0.014858,0.020931,0.009924,0.013415,0.020600,0.009952,0.013994,0.012730,
B Replicates,0.133154,0.122870,0.209143,0.117140,0.152401,0.191933,0.151659,0.266013,
,0.094990,0.214734,0.218368,0.136062,0.347301,0.187909,0.208142,0.282726,
,0.182995,0.170522,0.281378,0.090479,0.241639,0.184956,0.245621,0.218068,
,0.198549,0.140338,0.220366,0.131283,0.138798,0.158442,0.298610,0.274823,
,0.232516,0.311776,0.271543,0.210981,0.253174,0.206854,0.150329,0.200867,
,0.266234,0.268482,0.205425,0.141308,0.357796,0.213410,0.233151,0.251100,
,0.152021,0.211892,0.225670,0.213899,0.166914,0.175193,0.166777,0.260638,
,0.195883,0.285290,0.279652,0.214856,0.219462,0.198589,0.157614,0.229818,
,0.234179,0.240178,0.278367,0.126934,0.206877,0.240072,0.140741,0.259697,
,0.239638,0.116444,0.197881,0.193408,0.161653,0.220219,0.222147,0.308267,
,0.197900,0.147744,0.197784,0.130006,0.235225,0.288894,0.210108,0.247914,
,0.133307,0.091280,0.206348,0.089256,0.181207,0.181561,0.164135,0.139054,


Normalized Duration IQR - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.851370,1.036541,0.656113,1.329291,0.710890,0.679870,0.955484,0.484788,
B SEM,0.154452,0.077592,0.044675,0.111375,0.033862,0.059938,0.107195,0.045573,
