,Test Types,Gene,T-statistic,Regulation,P-value,Significance,Warnings
0,Mean Firing Rate (Hz),GPR37L 1,-4.44532374414791,Down-Regulated,3.218024094783415e-05,Significant diff between gene and control,No Warning
1,Mean Firing Rate (Hz),GPR37L 2,-3.424108623693968,Down-Regulated,0.001034953481798956,Significant diff between gene and control,No Warning
2,Mean Firing Rate (Hz),LGI2 A12,-4.402499662939761,Down-Regulated,3.7569239998795576e-05,Significant diff between gene and control,No Warning
3,Mean Firing Rate (Hz),SLITRK5,-4.167339834851601,Down-Regulated,8.675942208558824e-05,Significant diff between gene and control,No Warning
4,Mean Firing Rate (Hz),THSD7 1,-4.898030942143622,Down-Regulated,6.007398060455205e-06,Significant diff between gene and control,No Warning
5,Mean Firing Rate (Hz),THSD7 2,-5.996245874744895,Down-Regulated,7.955164374722422e-08,Significant diff between gene and control,No Warning
6,Number of Active Electrodes,GPR37L 1,-2.0968988827845614,Down-Regulated,0.039616910993360586,Significant diff between gene and control,No Warning
7,Number of Active Electrodes,GPR37L 2,-1.9001384991072314,Down-Regulated,0.061534150904026086,Not Significant,No Warning
8,Number of Active Electrodes,LGI2 A12,-2.000000000000001,Down-Regulated,0.04938161080198032,Significant diff between gene and control,No Warning
9,Number of Active Electrodes,SLITRK5,-0.9755314610098196,Down-Regulated,0.33265597843080075,Not Significant,No Warning
10,Number of Active Electrodes,THSD7 1,-2.1424667872399406,Down-Regulated,0.0356354730990196,Significant diff between gene and control,No Warning
11,Number of Active Electrodes,THSD7 2,-1.9001384991072314,Down-Regulated,0.061534150904026086,Not Significant,No Warning
12,Weighted Mean Firing Rate (Hz),GPR37L 1,-4.24273471335607,Down-Regulated,6.650718331747279e-05,Significant diff between gene and control,No Warning
13,Weighted Mean Firing Rate (Hz),GPR37L 2,-3.4031642615252227,Down-Regulated,0.0011053427962771408,Significant diff between gene and control,No Warning
14,Weighted Mean Firing Rate (Hz),LGI2 A12,-4.369006431193609,Down-Regulated,4.238420701420887e-05,Significant diff between gene and control,No Warning
15,Weighted Mean Firing Rate (Hz),SLITRK5,-4.231646122995407,Down-Regulated,6.91693501063011e-05,Significant diff between gene and control,No Warning
16,Weighted Mean Firing Rate (Hz),THSD7 1,-4.789592810368232,Down-Regulated,9.039320482913466e-06,Significant diff between gene and control,No Warning
17,Weighted Mean Firing Rate (Hz),THSD7 2,-6.012783351713784,Down-Regulated,7.437940224429002e-08,Significant diff between gene and control,No Warning
18,Number of Bursting Electrodes,GPR37L 1,-1.8898223650461354,Down-Regulated,0.06292290231427143,Not Significant,No Warning
19,Number of Bursting Electrodes,GPR37L 2,-1.9422808987940836,Down-Regulated,0.05612725212450636,Not Significant,No Warning
20,Number of Bursting Electrodes,LGI2 A12,-1.3289922465346171,Down-Regulated,0.18816623603116628,Not Significant,No Warning
