Input File,Display Name,File Name
Baseline,B,Div11 H12 5th batch of gRNAs Plate1(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,6.834792,5.479853,7.754689,7.505992,4.930839,4.744459,8.034181,7.392195,
B SEM,0.495198,0.347305,1.390014,0.643575,0.325701,0.438853,0.934248,0.660792,
B Replicates,6.954981,4.082326,5.058566,6.285952,6.175073,5.591913,6.074823,4.886411,
,4.676532,4.992288,6.972072,12.844519,5.497291,8.256774,6.952897,11.307420,
,7.229679,5.724052,7.888287,4.745727,5.839308,4.719466,9.764902,7.049812,
,5.716549,5.408295,19.017090,9.259275,4.836182,4.262193,5.679241,10.120258,
,5.700292,4.693414,7.048770,6.120884,4.116924,2.694664,8.603376,7.242393,
,8.577949,3.551271,16.232597,8.029596,4.297207,3.270738,16.301584,10.469571,
,10.713839,4.975406,5.080867,9.793456,3.036890,5.831388,6.582743,7.609421,
,7.563568,7.790746,4.043977,6.155481,4.450188,3.580867,8.349521,6.380158,
,4.906419,5.715923,3.742184,5.866194,3.292414,3.655898,9.210088,8.101084,
,5.955607,7.346603,6.527303,7.562318,6.080033,5.237391,9.877866,6.439141,
,6.053772,5.910796,4.966861,6.085869,6.477699,3.983743,5.252397,4.964152,
,7.968320,5.567111,6.477699,7.322634,5.070863,5.848479,3.760734,4.136515,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.916667,7.916667,8.000000,7.916667,8.000000,7.916667,8.000000,7.916667,
B SEM,0.083333,0.083333,0.000000,0.083333,0.000000,0.083333,0.000000,0.083333,
B Replicates,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,7.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
