Input File,Display Name,File Name
Baseline,B,Div11 H12 5th batch of gRNAs Plate2(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,3.799990,4.424539,3.527535,5.356828,4.050267,3.124116,5.266923,5.490030,
B SEM,0.417886,0.226932,0.209413,0.332602,0.405446,0.219121,0.447957,0.307652,
B Replicates,3.714315,4.358094,3.139409,5.701207,3.248023,3.496255,2.748648,4.112776,
,4.839576,5.551602,3.187682,3.596754,3.622347,2.567000,4.439451,5.602164,
,3.464836,5.126509,5.146692,5.027882,3.689139,3.899709,6.956929,5.224927,
,2.238660,5.046192,3.613816,5.220974,7.798793,3.431128,4.346026,5.669996,
,6.740741,4.524969,2.194340,4.240325,5.210778,3.437994,3.372659,5.214732,
,4.037661,3.382231,2.900749,6.065543,4.053475,1.516022,6.186850,4.881814,
,1.813774,5.181232,3.623179,5.165210,2.582605,3.152518,6.891802,6.572826,
,3.814399,4.018519,3.947149,6.590928,3.606742,3.300042,3.766334,3.713067,
,2.314191,4.009363,3.933833,4.834790,3.544944,2.398876,5.609655,7.822097,
,2.617561,2.832709,3.064919,8.040990,4.112984,2.374740,7.651893,5.810237,
,4.636496,4.330628,3.684977,4.734915,2.502289,3.966708,6.052851,5.375988,
,5.367665,4.732418,3.893675,5.062422,4.631086,3.948398,5.179983,5.879734,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.416667,7.833333,7.500000,7.916667,7.750000,7.583333,7.666667,7.916667,
B SEM,0.192996,0.112367,0.150756,0.083333,0.130558,0.148647,0.188025,0.083333,
B Replicates,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,6.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,
,6.000000,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,4.085067,4.523805,3.766807,5.399449,4.171331,3.302301,5.445686,5.559749,
B SEM,0.425411,0.227695,0.210347,0.314327,0.395619,0.225018,0.395646,0.323188,
B Replicates,3.714315,4.977588,3.586469,5.701207,3.248023,3.995720,3.135604,4.112776,
,4.839576,5.551602,3.642352,4.108198,3.622347,2.931574,5.073420,5.602164,
,3.959812,5.126509,5.146692,5.027882,3.689139,3.899709,6.956929,5.224927,
,2.558231,5.046192,3.613816,5.220974,7.798793,3.917246,4.346026,5.669996,
,6.740741,4.524969,2.194340,4.240325,5.210778,3.437994,4.496879,5.214732,
,4.037661,3.382231,3.315142,6.065543,4.632543,1.516022,6.186850,4.881814,
,2.071696,5.181232,3.623179,5.165210,2.951549,3.597884,6.891802,6.572826,
,5.081149,4.590215,4.508412,6.590928,3.606742,3.300042,3.766334,3.713067,
,2.635277,4.009363,4.491053,4.834790,4.049700,2.741573,5.609655,7.822097,
,2.617561,2.832709,3.501575,8.040990,4.112984,2.374740,7.651893,5.810237,
,4.636496,4.330628,3.684977,4.734915,2.502289,3.966708,6.052851,5.375988,
,6.128292,4.732418,3.893675,5.062422,4.631086,3.948398,5.179983,6.716366,


Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.416667,7.750000,7.500000,7.916667,7.666667,7.333333,7.500000,7.833333,
B SEM,0.192996,0.130558,0.150756,0.083333,0.142134,0.188025,0.194625,0.112367,
B Replicates,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,6.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,8.000000,
,6.000000,7.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,7.000000,6.000000,8.000000,7.000000,
,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,


Burst Frequency - Avg (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.151902,0.165857,0.152835,0.218289,0.159553,0.134228,0.267746,0.187085,
B SEM,0.014465,0.013257,0.017548,0.016083,0.017548,0.011778,0.017158,0.009348,
B Replicates,0.109030,0.191427,0.162416,0.289014,0.114440,0.132929,0.150288,0.185601,
,0.163337,0.197253,0.068010,0.201653,0.188722,0.110814,0.266334,0.223679,
,0.183818,0.168331,0.164586,0.133583,0.121099,0.135456,0.345818,0.179567,
,0.094406,0.140449,0.161465,0.143571,0.275905,0.190714,0.206825,0.184977,
,0.265293,0.144611,0.101748,0.239076,0.257803,0.118423,0.231377,0.163546,
,0.134207,0.093217,0.285120,0.265918,0.173355,0.067000,0.245526,0.165626,
,0.102729,0.199750,0.154598,0.233250,0.118186,0.227335,0.297723,0.198710,
,0.152864,0.155044,0.236847,0.204952,0.159087,0.140449,0.245318,0.141282,
,0.123893,0.149189,0.170739,0.154182,0.118186,0.105979,0.267790,0.263718,
,0.126092,0.120088,0.111052,0.312526,0.122971,0.117353,0.371203,0.187058,
,0.149813,0.157928,0.111735,0.221390,0.074698,0.131740,0.300101,0.156263,
,0.217347,0.272992,0.105701,0.220350,0.190179,0.132543,0.284644,0.194994,


Burst Duration - Avg (s)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.159613,0.165161,0.191107,0.154251,0.180350,0.174826,0.116459,0.205398,
B SEM,0.010120,0.011362,0.027890,0.016032,0.013928,0.012291,0.009619,0.010962,
B Replicates,0.168975,0.171137,0.097495,0.086814,0.149619,0.176089,0.104264,0.147369,
,0.152317,0.146513,0.447699,0.131823,0.150487,0.199711,0.096977,0.143021,
,0.122052,0.190225,0.222618,0.241566,0.180161,0.181330,0.090097,0.194032,
,0.160698,0.220719,0.211300,0.198055,0.213402,0.137238,0.112810,0.201376,
,0.214172,0.187539,0.181319,0.087881,0.125491,0.212824,0.118625,0.248909,
,0.154556,0.210958,0.056849,0.131940,0.173822,0.125877,0.140760,0.262078,
,0.121362,0.132097,0.168168,0.103777,0.161857,0.109958,0.205919,0.191574,
,0.183312,0.178222,0.109928,0.223520,0.153185,0.206166,0.089312,0.204226,
,0.123039,0.158680,0.203870,0.220146,0.270517,0.224892,0.106675,0.211858,
,0.124893,0.161241,0.170593,0.169108,0.221167,0.120264,0.138913,0.199308,
,0.225747,0.153739,0.210691,0.104057,0.248359,0.232593,0.107781,0.260667,
,0.164233,0.070864,0.212756,0.152330,0.116131,0.170970,0.085375,0.200352,


Normalized Duration IQR - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,1.130751,1.039696,0.989753,1.147379,1.088612,0.985857,1.351244,1.023444,
B SEM,0.130914,0.108712,0.061894,0.062883,0.099389,0.069247,0.050867,0.160404,
B Replicates,1.552934,1.898001,1.318464,1.058802,1.308979,1.237931,1.277782,2.352509,
,1.067078,0.673365,0.762042,0.982218,1.015957,1.013955,1.566789,0.622429,
,1.661217,1.056814,1.072681,0.845597,1.211748,0.943658,1.361616,0.528517,
,0.947993,1.050651,0.941620,1.478525,0.689648,0.937459,1.638979,0.893083,
,0.709744,0.558916,0.761320,0.995472,1.731241,0.874595,1.362472,1.016049,
,0.630526,1.126318,0.701958,1.367086,0.680585,0.848131,0.931820,0.834092,
,0.684180,0.903127,1.189813,0.936508,0.732943,1.020088,1.240956,0.899368,
,0.653821,1.229322,0.886003,1.319116,1.174274,0.962624,1.420619,0.711999,
,1.968032,1.069263,0.958609,1.065934,1.421463,1.128290,1.368021,0.764260,
,0.906238,0.881061,1.221676,1.508122,0.742732,0.688904,1.442015,0.623277,
,1.496570,1.443804,1.246537,1.121923,0.935589,0.638773,1.287982,1.104003,
,1.290684,0.585714,0.816311,1.089242,1.418182,1.535874,1.315877,1.931738,


IBI Coefficient of Variation - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,1.109059,0.872895,1.521532,0.755841,1.467889,1.400654,0.578633,1.040695,
B SEM,0.136092,0.090771,0.293045,0.046667,0.146521,0.106037,0.043068,0.188312,
B Replicates,1.158377,0.787241,0.553649,0.537053,1.009547,0.958214,0.755136,0.817607,
,0.704298,0.755320,3.873260,0.741924,1.109153,1.511836,0.427305,0.324380,
,1.110959,0.808102,1.392405,0.854961,1.052668,1.556080,0.462869,0.603287,
,1.472444,0.757183,1.400084,1.000565,2.263742,0.915523,0.775121,0.749858,
,1.525144,0.900272,3.172246,0.741084,0.981454,1.989887,0.426040,0.984495,
,2.254073,1.363328,0.797595,0.887162,1.849327,1.677296,0.800936,1.618417,
,1.017039,0.484336,1.454222,0.642798,1.447523,1.494498,0.590971,1.270347,
,0.937274,0.887809,0.508005,0.573214,2.283529,1.911102,0.728082,1.062970,
,1.127884,0.652472,1.216728,0.909642,1.084640,1.190865,0.548223,0.415700,
,0.736723,1.308435,1.036081,0.957747,1.889280,1.320600,0.511299,1.127009,
,0.755973,1.342167,1.103364,0.623885,1.692311,0.878130,0.390197,2.763938,
,0.508517,0.428072,1.750742,0.600058,0.951493,1.403812,0.527414,0.750335,


Burst Percentage - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,83.539098,81.531892,82.117403,87.428006,89.130802,84.034820,85.875609,91.321820,
B SEM,2.371102,2.490829,3.372584,1.638538,1.678454,1.939804,2.993378,1.683891,
B Replicates,88.852957,77.097349,70.935000,88.202596,91.294861,98.520809,73.876174,87.452631,
,91.622897,85.634909,81.623804,75.604194,89.978680,81.675744,85.064899,97.414682,
,81.688547,83.323747,96.836816,91.243926,88.051626,83.259808,95.848518,98.672057,
,80.620622,91.870992,90.454972,92.361218,95.547700,77.542052,94.973928,95.012713,
,96.555299,97.591462,89.546949,86.356857,89.576393,82.563422,91.068335,93.366181,
,78.925908,82.537497,63.724949,86.644041,93.616889,75.425807,86.509931,91.053654,
,75.074788,72.667334,89.644958,78.538513,87.051357,80.251593,82.563925,87.237916,
,67.971842,68.513718,73.733537,92.470401,80.015259,94.785578,60.101462,87.447951,
,77.469766,77.931544,83.368196,84.655200,76.757289,79.952840,88.813750,86.322076,
,85.872890,70.452314,62.443834,87.252997,93.603103,82.035691,96.036950,95.905915,
,92.906690,85.265003,92.778396,92.124631,88.406724,85.129198,83.716510,96.658857,
,84.906970,85.496832,90.317421,93.681500,95.669741,87.275294,91.932921,79.317210,


Network Burst Frequency (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.142877,0.162852,0.123041,0.198363,0.132196,0.111111,0.250381,0.166459,
B SEM,0.012866,0.013728,0.014652,0.017392,0.015224,0.007314,0.014485,0.012609,
B Replicates,0.094881,0.146484,0.186434,0.296296,0.111527,0.131502,0.163129,0.173117,
,0.148148,0.204744,0.054931,0.164794,0.113192,0.096546,0.209738,0.223055,
,0.119850,0.143154,0.151477,0.103204,0.113192,0.089888,0.346234,0.176446,
,0.083229,0.121515,0.108198,0.128173,0.266334,0.158136,0.204744,0.158136,
,0.244694,0.134831,0.104869,0.236371,0.149813,0.099875,0.218061,0.144819,
,0.168123,0.104869,0.084894,0.231377,0.158136,0.073242,0.261340,0.121515,
,0.111527,0.233042,0.089888,0.213067,0.124844,0.126509,0.219725,0.199750,
,0.156471,0.159800,0.236371,0.183104,0.124844,0.118186,0.244694,0.123179,
,0.123179,0.168123,0.151477,0.129838,0.096546,0.074906,0.272992,0.249688,
,0.139825,0.124844,0.126509,0.284644,0.099875,0.134831,0.274657,0.171452,
,0.129838,0.149813,0.088223,0.208073,0.053267,0.111527,0.292967,0.094881,
,0.194757,0.263005,0.093217,0.201415,0.174782,0.118186,0.296296,0.161465,


Network Burst Duration - Avg (sec)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.368317,0.447944,0.503386,0.359191,0.473175,0.484848,0.260521,0.516046,
B SEM,0.025034,0.036363,0.061840,0.043635,0.062372,0.050821,0.032855,0.042126,
B Replicates,0.392577,0.411698,0.220796,0.170124,0.308379,0.279302,0.200427,0.592935,
,0.488381,0.322872,0.863336,0.361295,0.481869,0.435898,0.229827,0.309380,
,0.336191,0.591148,0.434140,0.673290,0.435432,0.817655,0.198918,0.405414,
,0.360619,0.563310,0.748576,0.340807,0.361996,0.301469,0.220200,0.573816,
