Input File,Display Name,File Name
Baseline,B,DIV 19 LSL-Cas9-PVcre with fith batch of gRNAs plate3 basal1(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,1.306774,1.615488,1.790125,1.301594,1.642498,1.662439,1.793884,2.296241,
B SEM,0.375620,0.307909,0.267775,0.129073,0.387672,0.431439,0.151639,0.469970,
B Replicates,2.000624,2.483576,3.550104,0.636590,4.167983,3.445114,2.035135,3.486279,
,0.106445,0.943035,1.088358,1.030977,0.445946,0.392723,1.376923,0.515800,
,0.439501,2.122037,1.530561,1.061954,0.283992,0.159667,2.207277,1.248441,
,0.313929,0.939501,0.413098,1.412890,0.300208,0.127443,2.553430,0.411850,
,0.410187,0.873805,1.968815,1.632640,0.874220,0.537422,1.441580,1.623909,
,0.414137,0.329522,0.525364,0.969231,1.084823,1.514137,1.256341,2.462162,
,0.849896,0.656549,1.791268,1.566736,1.219958,0.775676,1.983368,0.885655,
,1.209771,1.372349,1.839501,1.512890,0.847401,0.554886,1.271310,2.674844,
,1.441164,2.112474,1.540125,2.293347,1.910395,2.880457,1.675676,5.970270,
,1.074636,1.203742,2.369854,1.548649,4.044283,2.851351,2.362578,2.515177,
,4.581497,4.207692,1.706237,1.083784,2.427859,2.082952,2.378170,4.120998,
,2.839501,2.141580,3.158212,0.869439,2.102911,4.627443,0.984823,1.639501,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.833333,7.500000,8.000000,8.000000,7.833333,7.250000,7.750000,8.000000,
B SEM,0.166667,0.337100,0.000000,0.000000,0.166667,0.445941,0.179435,0.000000,
B Replicates,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,6.000000,8.000000,
,6.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,4.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,6.000000,4.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,4.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
