Input File,Display Name,File Name
Baseline,B,Div18 H11 5th batch of gRNAs plate1 26 microM bicuculin(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,11.502744,9.587397,10.109455,11.763773,11.229731,11.854974,9.837918,12.616073,
B SEM,0.667669,0.955167,0.766236,0.786504,0.470669,0.773757,1.530876,1.029651,
B Replicates,7.304293,5.983535,10.548145,8.274073,9.650479,8.289912,3.924343,10.704460,
,9.242393,11.040642,14.318049,13.326178,10.248228,17.249062,3.616507,21.203835,
,11.317216,8.902668,10.369737,6.947478,12.051063,11.741976,8.751563,8.626303,
,13.523551,11.602751,10.035223,13.486244,9.159650,11.674656,9.862234,12.431430,
,13.298875,7.111505,14.488745,16.265110,11.061484,7.783243,5.187995,15.616507,
,8.735723,3.576907,12.332847,11.984785,11.938933,11.552939,6.406836,16.809296,
,11.067945,11.035848,9.458108,9.111505,11.691121,12.488745,11.974781,10.192372,
,14.212172,8.721134,9.217382,11.436640,11.531055,11.415590,21.617132,12.252397,
,13.274698,16.955190,5.603168,13.058983,10.815965,11.069404,17.035848,9.925594,
,12.469154,10.591913,8.145269,13.619216,12.732180,16.172780,11.866403,11.894748,
,9.633180,10.175281,6.956232,9.791580,14.815548,11.052313,8.658399,10.618383,
,13.953731,9.351396,9.840559,13.863485,9.061067,11.769070,9.152980,11.117549,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
B SEM,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
B Replicates,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,11.502744,9.587397,10.109455,11.763773,11.229731,11.854974,9.837918,12.616073,
B SEM,0.667669,0.955167,0.766236,0.786504,0.470669,0.773757,1.530876,1.029651,
B Replicates,7.304293,5.983535,10.548145,8.274073,9.650479,8.289912,3.924343,10.704460,
,9.242393,11.040642,14.318049,13.326178,10.248228,17.249062,3.616507,21.203835,
,11.317216,8.902668,10.369737,6.947478,12.051063,11.741976,8.751563,8.626303,
,13.523551,11.602751,10.035223,13.486244,9.159650,11.674656,9.862234,12.431430,
,13.298875,7.111505,14.488745,16.265110,11.061484,7.783243,5.187995,15.616507,
,8.735723,3.576907,12.332847,11.984785,11.938933,11.552939,6.406836,16.809296,
,11.067945,11.035848,9.458108,9.111505,11.691121,12.488745,11.974781,10.192372,
,14.212172,8.721134,9.217382,11.436640,11.531055,11.415590,21.617132,12.252397,
,13.274698,16.955190,5.603168,13.058983,10.815965,11.069404,17.035848,9.925594,
,12.469154,10.591913,8.145269,13.619216,12.732180,16.172780,11.866403,11.894748,
,9.633180,10.175281,6.956232,9.791580,14.815548,11.052313,8.658399,10.618383,
,13.953731,9.351396,9.840559,13.863485,9.061067,11.769070,9.152980,11.117549,


Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.000000,7.916667,8.000000,7.916667,8.000000,7.916667,8.000000,8.000000,
B SEM,0.000000,0.083333,0.000000,0.083333,0.000000,0.083333,0.000000,0.000000,
B Replicates,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


Burst Frequency - Avg (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.175107,0.176001,0.179328,0.217827,0.179537,0.198602,0.195220,0.197218,
B SEM,0.011602,0.022747,0.011405,0.013199,0.011400,0.015365,0.028325,0.019095,
B Replicates,0.101709,0.100875,0.145894,0.196957,0.126928,0.174656,0.158816,0.195707,
,0.126928,0.170785,0.262818,0.210088,0.176323,0.261150,0.090246,0.327428,
,0.141517,0.165069,0.155898,0.217710,0.213631,0.186268,0.157982,0.111296,
,0.188203,0.187370,0.136724,0.254273,0.221134,0.231346,0.239058,0.146311,
,0.182784,0.107336,0.218633,0.273864,0.129221,0.207170,0.091705,0.173197,
,0.130054,0.075865,0.181117,0.203627,0.219466,0.193831,0.078574,0.160692,
,0.211338,0.194039,0.170071,0.135265,0.218633,0.182159,0.223010,0.136098,
,0.207378,0.134431,0.210713,0.185911,0.206544,0.196540,0.423510,0.282618,
,0.208420,0.288037,0.129429,0.283868,0.139642,0.160692,0.265736,0.176532,
,0.187161,0.347228,0.210921,0.200292,0.174865,0.321592,0.169654,0.237599,
,0.186536,0.127762,0.155065,0.175073,0.202793,0.142559,0.167570,0.155273,
,0.229262,0.213214,0.174656,0.276990,0.125261,0.125261,0.276782,0.263860,


Burst Duration - Avg (s)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.386138,0.377354,0.417243,0.263477,0.372477,0.367481,0.283997,0.378137,
B SEM,0.022576,0.024351,0.037389,0.010231,0.023266,0.021186,0.033673,0.033392,
B Replicates,0.410706,0.359185,0.369738,0.253628,0.399310,0.317895,0.116370,0.275873,
,0.448021,0.540957,0.510987,0.264767,0.347084,0.316630,0.268773,0.356003,
,0.422130,0.296170,0.504530,0.233050,0.348253,0.390372,0.456213,0.411707,
,0.384940,0.386418,0.662114,0.249456,0.347333,0.297495,0.224339,0.436444,
,0.355140,0.474914,0.527376,0.285480,0.488027,0.279719,0.346785,0.469109,
,0.524049,0.361025,0.559794,0.279510,0.271712,0.335528,0.524699,0.667473,
,0.313199,0.333345,0.310190,0.303691,0.320134,0.518829,0.262705,0.360237,
,0.494610,0.431572,0.274320,0.286343,0.323039,0.323527,0.202057,0.342809,
,0.368246,0.352857,0.309739,0.231442,0.567911,0.431268,0.265086,0.366489,
,0.347653,0.330072,0.376940,0.328188,0.361578,0.326168,0.317551,0.342070,
,0.306885,0.437368,0.324790,0.247950,0.365510,0.434071,0.271425,0.310601,
,0.258081,0.224363,0.276395,0.198217,0.329832,0.438271,0.151959,0.198831,


Normalized Duration IQR - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.408040,0.506862,0.604036,0.242377,0.332416,0.384299,0.624991,0.346568,
B SEM,0.049871,0.132401,0.145067,0.020869,0.046412,0.048183,0.128802,0.037252,
B Replicates,0.345940,0.397981,0.297458,0.265980,0.413391,0.278810,0.912567,0.239776,
,0.376865,0.728904,0.947228,0.169375,0.205261,0.298570,0.847434,0.360689,
,0.302697,0.364710,0.390809,0.356566,0.277953,0.414863,1.299334,0.441918,
,0.208893,0.220559,0.327177,0.212136,0.453580,0.348812,1.314374,0.293032,
,0.287337,0.426039,0.534984,0.248198,0.244278,0.381112,1.017194,0.245980,
,0.816172,0.288234,1.093743,0.296557,0.152795,0.347190,0.720815,0.500016,
,0.283539,0.391646,0.303425,0.200469,0.675324,0.529001,0.269310,0.174082,
,0.594709,0.242647,0.339128,0.215073,0.218913,0.340983,0.212679,0.607808,
