Input File,Display Name,File Name
Baseline,B,Div19 H11 5th batch of gRNAs plate2 bicu 26 microM(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,9.509622,10.107892,7.569195,11.519557,10.667101,9.338978,8.475267,8.995484,
B SEM,0.696708,0.821683,0.867093,0.749524,0.917191,0.844350,0.914978,0.647515,
B Replicates,7.989371,7.156732,8.507712,7.260734,5.685911,7.382243,1.765527,7.597332,
,8.864527,11.724469,4.796165,8.523551,7.233431,11.225302,6.517924,8.797624,
,10.432472,12.145894,8.526053,8.768654,15.516465,12.704669,7.293456,10.599416,
,9.224052,14.082951,9.229887,14.931847,12.107336,11.273864,11.938933,14.395790,
,13.563151,11.982493,6.145060,11.960192,11.269696,8.253647,4.191747,11.288870,
,6.552313,8.055857,0.145894,15.205502,13.198208,4.209462,10.206336,6.255106,
,8.973947,5.887036,6.758441,12.216549,6.398916,10.205919,9.706128,8.029387,
,8.292830,9.112964,6.464152,11.047937,10.853481,7.669446,6.881826,8.048979,
,7.930805,6.387036,10.910796,9.867028,8.985411,9.336182,10.429137,9.836807,
,7.931638,9.657149,8.864527,11.417674,14.990204,5.400375,10.325969,6.880784,
,14.846811,10.918925,10.899958,14.661526,9.829929,10.117966,10.713422,7.746978,
,9.513547,14.183201,9.581701,12.373489,11.936223,14.288662,11.732805,8.468737,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.750000,7.916667,7.166667,7.916667,7.833333,7.750000,7.666667,7.916667,
B SEM,0.130558,0.083333,0.489795,0.083333,0.112367,0.130558,0.188025,0.083333,
B Replicates,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,6.000000,8.000000,
,8.000000,8.000000,2.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,9.824691,10.192933,7.940035,11.620492,10.850129,9.681440,8.689881,9.095886,
B SEM,0.688961,0.797975,0.849606,0.719022,0.874759,0.883059,0.843452,0.647874,
B Replicates,7.989371,8.177217,9.722623,7.260734,5.685911,8.435896,2.012505,7.597332,
,8.864527,11.724469,5.481332,9.734770,7.233431,12.828202,7.449056,8.797624,
,10.432472,12.145894,8.526053,8.768654,15.516465,12.704669,7.293456,10.599416,
,10.541773,14.082951,9.229887,14.931847,12.107336,11.273864,11.938933,14.395790,
,13.563151,11.982493,7.022450,11.960192,11.269696,8.253647,5.588995,11.288870,
,6.552313,8.055857,0.553564,15.205502,13.198208,4.209462,10.206336,6.255106,
,10.255702,5.887036,6.758441,12.216549,7.312809,11.658905,9.706128,8.029387,
,9.474186,9.112964,6.464152,11.047937,10.853481,7.669446,6.881826,8.048979,
,7.930805,6.387036,10.910796,9.867028,10.267850,9.336182,10.429137,9.836807,
,7.931638,9.657149,10.129459,11.417674,14.990204,5.400375,10.325969,6.880784,
,14.846811,10.918925,10.899958,14.661526,9.829929,10.117966,10.713422,7.746978,
,9.513547,14.183201,9.581701,12.373489,11.936223,14.288662,11.732805,9.673554,


Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.416667,7.750000,6.916667,7.916667,7.833333,7.500000,7.666667,7.666667,
B SEM,0.259905,0.179435,0.468045,0.083333,0.112367,0.150756,0.188025,0.188025,
B Replicates,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,6.000000,8.000000,
,7.000000,8.000000,2.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,6.000000,
,5.000000,6.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,7.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,


Burst Frequency - Avg (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.244659,0.225266,0.193094,0.237329,0.268373,0.217985,0.207563,0.207687,
B SEM,0.026799,0.020682,0.026409,0.017829,0.031243,0.024430,0.023273,0.021413,
B Replicates,0.143602,0.141011,0.192938,0.246353,0.102543,0.127672,0.051212,0.153397,
,0.184035,0.273656,0.158161,0.145775,0.213839,0.399690,0.243911,0.182993,
,0.226285,0.284494,0.172780,0.173614,0.482493,0.258649,0.181742,0.249896,
,0.294170,0.291371,0.212797,0.205711,0.388287,0.243852,0.388078,0.238641,
,0.481451,0.293247,0.137676,0.306378,0.279491,0.207467,0.168959,0.392872,
,0.180075,0.160275,0.053356,0.246144,0.218633,0.110671,0.292622,0.150896,
,0.260347,0.113172,0.215566,0.349312,0.250342,0.340380,0.193206,0.211477,
,0.332472,0.210365,0.204609,0.179867,0.242184,0.146936,0.207378,0.238850,
,0.206961,0.161942,0.429465,0.201334,0.186268,0.169862,0.213422,0.247960,
,0.238850,0.291163,0.263205,0.227178,0.419133,0.182219,0.157357,0.141100,
,0.234473,0.175490,0.135682,0.315965,0.226344,0.212708,0.177157,0.165069,
,0.153189,0.307003,0.140892,0.250313,0.210921,0.215715,0.215715,0.119097,


Burst Duration - Avg (s)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.349578,0.381011,0.370568,0.303170,0.382565,0.433884,0.267982,0.412130,
B SEM,0.023770,0.030354,0.035685,0.026461,0.028924,0.023638,0.023588,0.027138,
B Replicates,0.284880,0.351649,0.393620,0.268454,0.317624,0.353695,0.351824,0.285129,
,0.324747,0.389035,0.415912,0.344670,0.441890,0.365467,0.180811,0.283354,
