Input File,Display Name,File Name
Baseline,B,Div19 H11 5th batch of gRNAs plate 3 bicuculine 2microM(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,4.744199,4.518619,4.909337,6.153276,5.253595,5.883701,5.149924,4.200691,
B SEM,0.472914,0.659676,0.756413,0.558353,0.719206,0.826513,0.372791,0.842322,
B Replicates,7.673614,6.674239,5.605252,8.354314,2.640684,8.129012,6.619842,8.553981,
,4.753439,0.474990,2.980200,5.941017,4.798041,7.035640,4.225927,5.920175,
,6.409337,5.110254,5.531263,2.152355,3.553356,4.543143,6.104419,2.581492,
,6.170279,2.805127,2.338058,4.519175,2.432680,4.466236,3.621717,5.227178,
,4.770113,8.180075,4.972905,5.708837,5.338058,5.839308,3.954356,2.507503,
,6.296165,3.510213,9.238433,4.556690,7.137766,2.804502,6.214464,2.830554,
,3.328262,7.838891,7.185911,6.422051,6.032305,8.864110,4.896624,9.571280,
,4.503335,5.224885,2.563151,5.567528,6.600042,10.890996,3.430805,4.322009,
,1.849312,5.294498,2.055648,5.924135,5.173822,9.125469,7.251980,0.848479,
,3.779491,2.912672,7.052313,9.200500,3.678408,2.758233,4.708629,5.978950,
,3.412672,3.099625,8.015632,7.679658,11.614840,2.578574,6.327845,0.979783,
,3.984368,3.097957,1.373281,7.813047,4.043143,3.569195,4.442476,1.086911,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.583333,7.500000,7.750000,7.583333,7.416667,7.666667,7.416667,7.583333,
B SEM,0.192996,0.194625,0.179435,0.148647,0.148647,0.142134,0.416667,0.148647,
B Replicates,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,7.000000,
,8.000000,7.000000,6.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,7.000000,7.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,3.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,
,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,7.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,
,7.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,6.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,6.000000,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.014296,4.802876,5.057229,6.445146,5.563893,6.052564,5.766018,4.550122,
B SEM,0.477259,0.681089,0.749671,0.544172,0.673676,0.790992,0.489878,0.963667,
B Replicates,7.673614,6.674239,6.401000,8.354314,3.008396,8.129012,6.619842,9.772405,
,4.753439,0.533079,3.959150,5.941017,5.471804,7.035640,4.225927,5.920175,
,6.409337,5.110254,5.531263,2.453403,4.053117,5.181445,6.104419,2.581492,
,7.051748,2.805127,2.338058,5.164533,2.773060,5.104270,9.647909,5.227178,
,4.770113,8.180075,4.972905,5.708837,5.338058,5.839308,3.954356,2.858096,
,6.296165,3.510213,9.238433,5.206693,7.137766,2.804502,6.214464,3.234919,
,3.803251,7.838891,7.185911,6.422051,6.032305,8.864110,5.596141,10.937891,
