Input File,Display Name,File Name
Baseline,B,Div18 H11 5th batch of gRNAs plate1 2microM bicuculin(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.822739,4.790746,4.080138,7.130211,5.091253,5.853029,6.622065,6.756200,
B SEM,0.576495,0.815966,0.396628,0.868808,0.582158,0.539019,0.703183,1.084726,
B Replicates,3.221134,1.547937,5.770529,5.530013,7.351188,6.718424,4.522926,3.767820,
,4.029804,5.520425,3.074823,8.867236,2.021884,8.123385,3.739892,3.773030,
,5.655273,2.629846,5.165902,3.267820,5.348479,5.224260,4.859525,3.739266,
,7.150063,7.088162,5.996665,9.885369,4.920800,5.144227,7.179658,7.844935,
,7.085869,4.214048,3.699875,4.829721,3.089204,4.423510,6.351396,10.242184,
,3.729262,0.557316,4.309296,10.847228,5.396415,8.403085,5.463526,16.993331,
,8.591080,2.840975,1.729054,6.508754,3.966861,4.871822,5.870571,6.632555,
,7.500417,5.750313,3.814506,6.208629,6.391205,6.986453,9.863902,6.288037,
,3.348479,8.566694,2.761150,6.517090,9.319300,6.290538,12.347853,5.630888,
,6.674239,10.189246,4.482910,13.437682,3.783035,7.996248,7.945602,4.262818,
,4.440809,4.208837,2.604002,5.320342,6.026261,3.050855,5.298458,6.733639,
,8.446436,4.375156,5.552939,4.342643,3.480409,3.003543,6.021467,5.165902,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.916667,7.916667,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
B SEM,0.083333,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
B Replicates,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.869879,4.856307,4.080138,7.130211,5.091253,5.853029,6.622065,6.756200,
B SEM,0.564980,0.823891,0.396628,0.868808,0.582158,0.539019,0.703183,1.084726,
B Replicates,3.221134,1.547937,5.770529,5.530013,7.351188,6.718424,4.522926,3.767820,
,4.595486,6.307152,3.074823,8.867236,2.021884,8.123385,3.739892,3.773030,
,5.655273,2.629846,5.165902,3.267820,5.348479,5.224260,4.859525,3.739266,
,7.150063,7.088162,5.996665,9.885369,4.920800,5.144227,7.179658,7.844935,
,7.085869,4.214048,3.699875,4.829721,3.089204,4.423510,6.351396,10.242184,
,3.729262,0.557316,4.309296,10.847228,5.396415,8.403085,5.463526,16.993331,
,8.591080,2.840975,1.729054,6.508754,3.966861,4.871822,5.870571,6.632555,
,7.500417,5.750313,3.814506,6.208629,6.391205,6.986453,9.863902,6.288037,
,3.348479,8.566694,2.761150,6.517090,9.319300,6.290538,12.347853,5.630888,
,6.674239,10.189246,4.482910,13.437682,3.783035,7.996248,7.945602,4.262818,
,4.440809,4.208837,2.604002,5.320342,6.026261,3.050855,5.298458,6.733639,
,8.446436,4.375156,5.552939,4.342643,3.480409,3.003543,6.021467,5.165902,


Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.916667,7.916667,8.000000,8.000000,8.000000,7.916667,8.000000,8.000000,
B SEM,0.083333,0.083333,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,
B Replicates,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


Burst Frequency - Avg (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.094839,0.114936,0.098947,0.167361,0.091045,0.118025,0.131826,0.128838,
B SEM,0.010418,0.037571,0.009161,0.017951,0.012173,0.015100,0.012890,0.019143,
B Replicates,0.049187,0.028137,0.104210,0.180909,0.125886,0.209879,0.187370,0.077324,
,0.094087,0.099327,0.095873,0.196332,0.035848,0.141100,0.097957,0.046686,
,0.078574,0.050438,0.100459,0.108170,0.091080,0.075746,0.077115,0.050855,
,0.099208,0.113589,0.119633,0.221967,0.144435,0.081909,0.106920,0.103376,
,0.091913,0.076699,0.099416,0.080242,0.037307,0.122134,0.112338,0.155481,
,0.059608,0.016674,0.149854,0.207795,0.093372,0.147145,0.075865,0.288245,
,0.141517,0.051480,0.029387,0.137974,0.075865,0.099625,0.112964,0.102126,
,0.126094,0.095873,0.093789,0.124635,0.116715,0.137974,0.181534,0.181117,
,0.052105,0.137766,0.071071,0.165902,0.172155,0.106920,0.187161,0.104210,
