Input File,Display Name,File Name
Baseline,B,Div19 H11 5th batch of gRNAs plate2 bicu 2microM(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.110932,5.070047,2.910935,5.504568,4.400653,3.275323,4.969710,3.720526,
B SEM,0.731295,0.881750,0.560453,0.654737,0.553156,0.548049,0.730827,0.567422,
B Replicates,4.442684,1.280534,5.582534,4.598583,1.493747,2.449979,2.629637,2.945394,
,3.408087,10.915173,0.413089,4.874114,5.959150,7.580659,3.751355,4.400584,
,6.590663,6.966653,3.539183,3.791997,7.921426,2.036265,6.629221,5.275948,
,3.436015,8.000000,3.491038,8.458941,6.050021,1.319300,5.418299,7.415798,
,9.966861,6.982493,1.675698,4.827845,5.809296,1.261567,1.433097,5.154856,
,2.339725,2.488537,0.135890,7.086911,5.352230,1.743643,8.202376,2.007295,
,6.185494,2.994581,3.181326,4.115882,2.835140,4.348270,2.033139,5.947895,
,6.580659,7.600875,1.804710,3.781992,2.899333,3.988745,4.025844,2.543351,
,3.392247,2.783243,4.954564,2.642976,2.875156,3.027095,3.885786,3.740308,
,3.139016,4.393289,5.632555,3.826386,4.073781,3.475615,9.106503,0.696749,
,9.048145,1.176115,0.776990,9.201542,5.105044,5.731555,4.458733,1.708003,
,2.801584,5.259066,3.743643,8.847645,2.433514,2.341184,8.062526,2.810129,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.666667,7.916667,6.916667,7.916667,7.833333,7.500000,7.750000,7.833333,
B SEM,0.188025,0.083333,0.468045,0.083333,0.112367,0.150756,0.179435,0.112367,
B Replicates,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,6.000000,8.000000,
,8.000000,8.000000,2.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,7.000000,
,6.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,5.407389,5.085291,3.217985,5.562335,4.468573,3.543810,5.054177,3.823716,
B SEM,0.788155,0.875907,0.619835,0.652223,0.537582,0.638397,0.708430,0.591879,
B Replicates,4.442684,1.463467,6.379801,4.598583,1.493747,2.799976,2.629637,2.945394,
,3.408087,10.915173,0.472101,5.567320,5.959150,8.663372,4.287263,4.400584,
,6.590663,6.966653,3.539183,3.791997,7.921426,2.036265,6.629221,5.275948,
,3.926874,8.000000,3.491038,8.458941,6.050021,1.503484,5.418299,7.415798,
,9.966861,6.982493,1.914845,4.827845,5.809296,1.437980,1.910796,5.154856,
,2.339725,2.488537,0.524385,7.086911,5.352230,1.743643,8.202376,2.007295,
,7.069136,2.994581,3.629131,4.115882,3.240160,4.968261,2.033139,6.786399,
,8.763652,7.600875,2.054904,3.781992,2.899333,3.988745,4.025844,2.543351,
,3.392247,2.783243,5.653784,2.642976,3.285178,3.027095,3.885786,3.740308,
,3.139016,4.393289,6.436015,3.826386,4.073781,3.475615,9.106503,0.696749,
,9.048145,1.176115,0.776990,9.201542,5.105044,6.540106,4.458733,1.708003,
,2.801584,5.259066,3.743643,8.847645,2.433514,2.341184,8.062526,3.209909,


Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.333333,7.750000,6.916667,7.916667,7.833333,7.500000,7.500000,7.750000,
B SEM,0.256235,0.179435,0.468045,0.083333,0.112367,0.150756,0.194625,0.130558,
B Replicates,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,6.000000,8.000000,
,7.000000,8.000000,2.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,7.000000,
,5.000000,6.000000,7.000000,8.000000,8.000000,8.000000,7.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,7.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,


Burst Frequency - Avg (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.171166,0.138039,0.093328,0.152874,0.141153,0.106029,0.124820,0.097823,
B SEM,0.035475,0.030409,0.017754,0.020213,0.024094,0.023293,0.016630,0.014168,
B Replicates,0.097749,0.017865,0.178408,0.234890,0.035431,0.031918,0.097898,0.065861,
,0.066486,0.398083,0.015959,0.129816,0.234473,0.282260,0.128625,0.093581,
,0.350384,0.191747,0.081284,0.088370,0.327637,0.063777,0.174239,0.126928,
,0.159828,0.171738,0.091913,0.157149,0.164444,0.041922,0.138183,0.145060,
,0.437891,0.165486,0.052165,0.122968,0.189454,0.047639,0.040295,0.157149,
,0.066694,0.040434,0.049187,0.155065,0.117549,0.060859,0.194039,0.054606,
,0.180790,0.073364,0.139582,0.223426,0.109808,0.165069,0.037932,0.161972,
,0.262776,0.208420,0.066933,0.096915,0.053981,0.088995,0.184363,0.122968,
,0.098136,0.067528,0.176502,0.060442,0.096945,0.096499,0.065236,0.131483,
,0.087953,0.149437,0.181504,0.074614,0.126303,0.130888,0.175907,0.022509,
,0.193414,0.031055,0.011255,0.274489,0.177157,0.226047,0.086465,0.041267,
,0.051897,0.141309,0.075240,0.216340,0.060650,0.036474,0.174656,0.050497,


Burst Duration - Avg (s)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.298696,0.345938,0.325563,0.286347,0.324437,0.339835,0.291034,0.346420,
B SEM,0.021805,0.022457,0.036451,0.017983,0.017955,0.023354,0.025086,0.021984,
B Replicates,0.267795,0.462444,0.236920,0.263899,0.277530,0.459337,0.189441,0.271880,
,0.331285,0.224358,0.381101,0.254765,0.329343,0.331502,0.179068,0.286599,
,0.163008,0.318375,0.438561,0.250973,0.205667,0.311718,0.225634,0.414835,
,0.247402,0.423492,0.340413,0.304989,0.353490,0.249701,0.258704,0.468611,
,0.210399,0.415405,0.319981,0.239714,0.295541,0.361185,0.374278,0.320225,
