Input File,Display Name,File Name
Baseline,B,Div19 H11 5th batch of gRNAs plate2 basal(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.588585,3.565526,2.111001,4.502087,2.431135,2.403902,6.079108,2.946073,
B SEM,0.581044,0.602685,0.449186,0.692605,0.542782,0.566563,0.562120,0.608479,
B Replicates,1.827421,3.278172,5.325334,3.735184,0.840568,3.100167,3.665484,2.135017,
,0.901503,6.809265,0.281511,1.074499,4.000626,3.151920,3.726210,1.878548,
,7.349958,2.711603,1.391903,2.271077,2.575334,2.032137,7.272120,2.567195,
,1.503130,2.224958,1.152129,4.904215,0.460559,1.641068,5.093907,7.638564,
,2.211811,3.282137,1.718907,4.165275,3.251043,0.664441,4.756469,1.001461,
,0.859349,1.075960,0.144616,2.927588,2.784850,0.998122,7.111853,2.213063,
,1.724332,4.111853,1.263982,3.683848,1.036519,1.958890,7.449290,4.388356,
,4.589942,5.143573,2.862270,9.942821,0.817613,3.272538,4.589733,2.458890,
,1.027337,1.117696,1.815109,3.771077,1.239149,1.111227,5.449917,1.208890,
,1.507930,0.885434,3.836603,3.796953,0.921953,0.662771,10.533389,1.662771,
,2.563439,6.053631,1.701586,6.294658,6.159015,7.876461,6.374165,1.760434,
,4.996870,6.092028,3.838063,7.457846,5.086394,2.377087,6.926753,6.439691,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.333333,7.500000,6.916667,7.916667,7.833333,7.333333,7.750000,7.750000,
B SEM,0.256235,0.194625,0.468045,0.083333,0.112367,0.142134,0.179435,0.130558,
B Replicates,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,6.000000,8.000000,
,7.000000,7.000000,2.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,7.000000,
,5.000000,6.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,7.000000,
,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.963559,3.780590,2.349876,4.514839,2.458226,2.642276,6.255591,3.088674,
B SEM,0.731974,0.637454,0.494113,0.686962,0.537237,0.648110,0.532530,0.660089,
B Replicates,1.827421,3.745767,6.085380,3.735184,0.840568,3.543048,3.665484,2.135017,
,0.901503,6.809265,0.321727,1.227522,4.000626,3.602194,4.258526,1.878548,
,8.390651,2.711603,1.391903,2.271077,2.575334,2.032137,7.272120,2.567195,
,1.717863,2.224958,1.152129,4.904215,0.460559,1.872883,5.093907,7.638564,
,2.211811,3.282137,1.964226,4.165275,3.251043,0.759122,6.341959,1.001461,
,0.977820,1.219175,0.576795,2.927588,2.784850,0.998122,7.111853,2.213063,
,1.970665,4.111853,1.442642,3.683848,1.184593,2.238254,7.449290,5.012163,
,7.327880,6.850028,3.266873,9.942821,0.817613,3.272538,4.589733,2.458890,
,1.168853,1.265681,2.072740,3.771077,1.416170,1.259480,5.449917,1.378249,
,1.507930,1.000954,4.384450,3.796953,0.921953,0.754591,10.533389,1.662771,
,2.563439,6.053631,1.701586,6.294658,6.159015,8.997854,6.374165,1.760434,
,4.996870,6.092028,3.838063,7.457846,5.086394,2.377087,6.926753,7.357739,


Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.333333,7.583333,6.833333,7.916667,7.833333,7.250000,7.500000,7.750000,
B SEM,0.256235,0.192996,0.548183,0.083333,0.112367,0.130558,0.194625,0.130558,
B Replicates,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,6.000000,8.000000,
,7.000000,8.000000,1.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,7.000000,7.000000,8.000000,7.000000,
,5.000000,6.000000,7.000000,8.000000,8.000000,8.000000,7.000000,8.000000,
,7.000000,7.000000,7.000000,8.000000,7.000000,7.000000,8.000000,7.000000,
,8.000000,7.000000,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,


Burst Frequency - Avg (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.109471,0.136475,0.081182,0.144611,0.093365,0.103396,0.155686,0.086672,
B SEM,0.033212,0.025505,0.017675,0.025523,0.021816,0.027140,0.017654,0.016719,
B Replicates,0.039649,0.112330,0.247078,0.191987,0.019407,0.061054,0.111615,0.047371,
,0.021703,0.274833,0.013833,0.032912,0.210142,0.198426,0.103029,0.038815,
,0.378488,0.117696,0.037354,0.053631,0.130426,0.080342,0.156720,0.076169,
,0.088958,0.085351,0.041945,0.093698,0.015860,0.070832,0.103923,0.214524,
,0.113523,0.119783,0.072025,0.134182,0.141903,0.035058,0.119366,0.036728,
,0.027427,0.017947,0.080134,0.052796,0.079299,0.062008,0.147955,0.078255,
,0.065109,0.154424,0.058669,0.200334,0.037682,0.107799,0.162354,0.166468,
,0.310851,0.253756,0.103744,0.258556,0.015860,0.127504,0.322681,0.113940,
,0.033389,0.026711,0.093489,0.133556,0.050560,0.054376,0.118114,0.038636,
,0.046119,0.039351,0.121154,0.079299,0.037563,0.035297,0.209307,0.059891,
,0.075543,0.211603,0.027755,0.188022,0.209933,0.362986,0.148104,0.040484,
,0.112896,0.223915,0.077003,0.316361,0.171745,0.045075,0.165067,0.128786,


