Input File,Display Name,File Name
Baseline,B,Div19 H11 5th batch of gRNAs plate 3 bicuculine 6microM(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,6.904926,5.830450,7.428130,8.166163,7.193917,8.245658,6.254220,6.210140,
B SEM,0.596294,0.688829,0.824528,0.632630,0.846707,0.810352,0.551888,0.876209,
B Replicates,9.378699,7.113172,6.610046,10.242601,3.780950,9.471238,6.041059,9.958524,
,5.086494,2.488537,5.123802,11.087328,6.315131,8.340559,3.223426,8.608795,
,4.203835,6.998333,6.496665,4.567737,5.491246,6.776157,6.448312,5.826594,
,10.425177,3.673406,4.300959,8.403293,4.114631,5.463526,3.462068,7.805336,
,10.071071,10.184869,7.408920,8.669446,7.749479,7.091288,5.400167,4.888287,
,7.852022,5.448312,11.566903,4.478324,10.318466,7.786995,6.713005,5.616507,
,5.031680,9.827428,10.484577,7.565861,8.295331,12.874323,7.461442,10.804919,
,6.130054,6.148395,8.525636,6.622551,8.442476,11.674448,5.949771,7.547520,
,6.348479,5.662568,5.875573,7.746353,7.503126,12.541892,9.097332,1.471030,
,5.867236,4.237182,10.155481,11.272405,6.001876,5.388287,6.914548,7.314923,
,6.731138,4.134431,10.357649,8.830554,14.043977,6.681117,9.456023,2.019800,
,5.733222,4.048770,2.231346,8.507503,4.270321,4.858066,4.883493,2.659441,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.666667,7.666667,7.916667,7.666667,7.500000,7.833333,7.416667,7.666667,
B SEM,0.142134,0.188025,0.083333,0.142134,0.150756,0.112367,0.416667,0.142134,
B Replicates,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,7.000000,
,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,3.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,7.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,
,7.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,6.000000,8.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,7.000000,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,7.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.230748,6.110687,7.506483,8.498623,7.572262,8.374191,6.905339,6.610634,
B SEM,0.642878,0.698394,0.821177,0.612165,0.792420,0.773496,0.565028,0.998821,
B Replicates,9.378699,7.113172,7.550289,10.242601,4.311558,9.471238,6.041059,11.374501,
,5.086494,2.488537,5.123802,11.087328,7.207765,8.340559,3.223426,8.608795,
,4.203835,6.998333,6.496665,4.567737,5.491246,6.776157,6.448312,5.826594,
