Input File,Display Name,File Name
Baseline,B,Div18 H11 5th batch of gRNAs plate1 6 microM bicuculin(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.554080,7.290920,7.747587,8.525035,9.085590,9.247292,7.915955,10.139896,
B SEM,0.498478,1.126047,0.499108,0.724449,0.500988,0.755342,1.083063,1.060651,
B Replicates,5.833958,2.547292,7.727917,7.288542,9.084583,6.480000,4.079375,5.837083,
,5.813125,7.022708,9.915417,5.982708,6.355417,15.131042,3.933125,10.856667,
,8.106458,5.961250,9.034167,4.603958,10.787500,9.345625,5.110208,7.365000,
,8.372917,11.530833,8.003333,9.690625,8.408750,9.337917,8.345208,11.178958,
,9.567708,5.168333,9.538333,8.178750,8.105208,6.227917,6.445625,13.490000,
,5.458542,0.644375,7.650417,9.320417,10.689167,10.736042,5.877292,19.297083,
,8.426667,8.712292,8.370417,7.325417,9.260833,10.237708,7.065000,8.643542,
,6.647083,5.204583,8.850625,8.535208,10.960000,5.925208,15.318333,12.292083,
,9.158958,14.902083,4.437292,10.123750,10.214167,10.092083,14.845000,8.935833,
,10.554792,10.629583,7.297292,14.775833,8.190208,11.504792,10.025208,6.726458,
,5.534167,8.196875,4.512292,7.705625,10.980625,8.530208,6.722083,8.056875,
,7.174583,6.970833,7.633542,8.769583,5.990625,7.418958,7.225000,8.999167,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,8.000000,7.916667,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
B SEM,0.000000,0.083333,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,
B Replicates,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
