Input File,Display Name,File Name
Baseline,B,Div19 H11 5th batch of gRNAs plate 3 basal(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.548527,3.972071,1.702398,5.253229,2.014087,2.456326,4.843964,3.255970,
B SEM,0.461492,0.492611,0.314542,0.467679,0.535160,0.392394,0.383601,0.682799,
B Replicates,5.499162,6.382907,2.914956,6.604943,1.848974,4.715961,7.738165,8.244240,
,1.969837,2.550272,3.842061,6.861332,0.395894,0.851906,4.451822,3.873900,
,4.607457,4.936531,1.399036,3.757646,1.762463,2.645371,3.083997,4.488270,
,4.511311,2.952870,0.775031,5.469418,0.766234,0.544826,3.708840,3.776288,
,3.115207,5.353163,0.837662,4.427105,1.601801,2.540218,4.283201,1.315459,
,1.804357,3.315040,1.546083,2.927943,3.330750,2.988898,5.991621,0.952241,
,0.932342,7.577922,0.630708,5.498324,1.004189,4.395057,3.929828,1.611227,
,1.185589,3.292836,0.627357,2.138877,7.265396,3.890658,4.688731,6.458525,
,0.686845,3.314830,1.449937,5.293465,0.934227,2.104315,5.498534,0.459992,
,1.804776,2.031420,2.782153,6.433389,1.175115,1.072476,6.199623,3.814621,
,1.391077,3.335149,2.741726,6.632803,2.805823,2.092585,5.020318,1.214495,
,3.074361,2.621910,0.882070,6.993506,1.278173,1.633641,3.532886,2.862380,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.166667,7.500000,7.500000,7.666667,7.250000,7.416667,7.250000,7.416667,
B SEM,0.241000,0.230283,0.194625,0.142134,0.217597,0.259905,0.428617,0.228908,
B Replicates,8.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,7.000000,
,6.000000,8.000000,6.000000,8.000000,7.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,7.000000,7.000000,5.000000,3.000000,8.000000,
,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,7.000000,
,8.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,7.000000,
,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,6.000000,
,6.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,6.000000,8.000000,8.000000,6.000000,8.000000,7.000000,8.000000,
,6.000000,7.000000,7.000000,8.000000,6.000000,7.000000,6.000000,6.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,6.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,2.793159,4.199064,1.904143,5.461717,2.143949,2.561241,5.640725,3.529778,
B SEM,0.464979,0.461713,0.405034,0.478187,0.520563,0.374211,0.593938,0.748825,
B Replicates,5.499162,6.382907,3.328266,6.604943,2.109282,4.715961,7.738165,9.421270,
,2.608854,2.550272,5.120793,6.861332,0.452451,0.962834,4.451822,3.873900,
,4.607457,4.936531,1.399036,3.757646,2.012807,3.022323,3.083997,4.488270,
,5.155784,2.952870,0.775031,6.250524,0.874738,0.865689,9.882977,3.776288,
,3.559279,5.353163,0.952541,4.427105,1.601801,2.540218,4.283201,1.502663,
,1.804357,3.315040,1.765037,3.345981,3.330750,2.988898,5.991621,1.088276,
,1.065534,7.577922,0.630708,5.498324,1.004189,4.395057,4.491232,2.135735,
,1.572685,3.763241,0.627357,2.444431,7.265396,3.890658,4.688731,6.458525,
,0.774672,4.418657,1.449937,5.293465,1.244798,2.104315,6.276857,0.459992,
,2.404692,2.321384,3.177210,6.433389,1.564586,1.224250,8.246893,5.075548,
,1.391077,3.335149,2.741726,6.632803,2.805823,2.391047,5.020318,1.214495,
,3.074361,3.481637,0.882070,7.990664,1.460770,1.633641,3.532886,2.862380,


Number of Bursting Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.166667,7.333333,7.583333,7.416667,7.250000,7.500000,7.250000,7.500000,
B SEM,0.207194,0.224733,0.192996,0.192996,0.217597,0.261116,0.428617,0.194625,
B Replicates,7.000000,8.000000,7.000000,8.000000,7.000000,8.000000,8.000000,7.000000,
,7.000000,8.000000,6.000000,8.000000,7.000000,8.000000,8.000000,8.000000,
,7.000000,8.000000,8.000000,7.000000,7.000000,7.000000,8.000000,8.000000,
,7.000000,7.000000,8.000000,7.000000,7.000000,5.000000,3.000000,8.000000,
,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,
,8.000000,8.000000,7.000000,6.000000,8.000000,8.000000,8.000000,7.000000,
,7.000000,8.000000,8.000000,7.000000,8.000000,8.000000,7.000000,7.000000,
,6.000000,7.000000,8.000000,7.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,6.000000,8.000000,8.000000,6.000000,8.000000,7.000000,8.000000,
,6.000000,7.000000,7.000000,8.000000,6.000000,7.000000,6.000000,6.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,6.000000,8.000000,7.000000,7.000000,8.000000,8.000000,8.000000,


Burst Frequency - Avg (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.114389,0.153080,0.067593,0.197731,0.075187,0.098812,0.167574,0.098438,
B SEM,0.023441,0.034141,0.020126,0.020657,0.017477,0.020605,0.042127,0.018483,
B Replicates,0.258065,0.225806,0.091927,0.276288,0.059609,0.115417,0.236489,0.225268,
,0.052906,0.072685,0.268678,0.188731,0.017476,0.015501,0.105991,0.177419,
,0.191514,0.120654,0.039799,0.161590,0.081633,0.131426,0.062840,0.111018,
,0.241546,0.247292,0.021575,0.179544,0.024657,0.025136,0.611646,0.108504,
,0.172602,0.150578,0.022413,0.127566,0.042941,0.101382,0.098240,0.064875,
,0.111227,0.083578,0.046203,0.192990,0.153121,0.191035,0.125890,0.026333,
,0.062242,0.471722,0.019062,0.169489,0.038123,0.209049,0.112993,0.052187,
,0.051389,0.069424,0.025974,0.078760,0.227692,0.198995,0.118140,0.151864,
,0.033724,0.071219,0.046711,0.225597,0.046362,0.080017,0.143396,0.012568,
,0.069264,0.072775,0.112514,0.190825,0.062003,0.024897,0.159196,0.115068,
,0.030163,0.080017,0.071010,0.218475,0.100754,0.059369,0.114998,0.038961,
,0.098031,0.171205,0.045245,0.362918,0.047878,0.033515,0.121072,0.097193,


Burst Duration - Avg (s)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.184270,0.245742,0.202834,0.199063,0.215338,0.215672,0.259505,0.258644,
B SEM,0.018426,0.032705,0.010330,0.013446,0.011800,0.022713,0.017715,0.018216,
B Replicates,0.167265,0.181265,0.179797,0.156270,0.275899,0.271183,0.211298,0.231276,
,0.190282,0.271960,0.155068,0.266761,0.197923,0.268964,0.282574,0.160612,
,0.140126,0.226282,0.210394,0.125802,0.208652,0.147201,0.322176,0.269531,
,0.141617,0.119994,0.224979,0.225526,0.273495,0.232082,0.162688,0.302983,
,0.141067,0.217613,0.249213,0.250685,0.250621,0.179142,0.242318,0.220754,
,0.092307,0.331537,0.199963,0.152916,0.132875,0.145773,0.288281,0.306328,
,0.139710,0.126383,0.251127,0.240185,0.196013,0.157941,0.279148,0.215590,
,0.190596,0.397170,0.184348,0.192628,0.208583,0.110736,0.239567,0.262898,
,0.167886,0.489218,0.215827,0.205078,0.224148,0.173444,0.313269,0.259990,
,0.290730,0.221536,0.219248,0.245504,0.190575,0.393732,0.309559,0.413888,
,0.261213,0.242472,0.214184,0.172747,0.182521,0.243143,0.322159,0.226447,
,0.288438,0.123478,0.129861,0.154648,0.242745,0.264727,0.141023,0.233426,


Normalized Duration IQR - Avg
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,0.876671,0.782540,0.638556,0.958304,0.822167,0.851302,0.476829,1.103376,
B SEM,0.086977,0.104476,0.047341,0.083957,0.067605,0.126939,0.076130,0.244456,
B Replicates,1.404879,1.363804,0.594475,1.206531,0.966737,1.193499,0.423311,0.407941,
,1.180497,0.557350,0.913725,1.129566,0.875859,1.663432,0.387794,1.216868,
,0.776714,0.368015,0.682530,0.856849,0.678906,0.876348,0.329240,0.602986,
,0.619057,1.350330,0.484842,0.707097,0.723908,0.373083,1.215017,2.247411,
,0.995385,1.165126,0.708311,1.011812,0.941789,0.731864,0.345627,1.088734,
,0.512541,0.952224,0.497430,0.802850,0.992422,0.629942,0.322921,0.952877,
,0.759850,0.681973,0.942205,1.332731,0.644169,1.402121,0.747578,0.846994,
