Input File,Display Name,File Name
Baseline,B,Div18 H11 5th batch of gRNAs plate1 basal(000)(000).csv

Plot Selection,One File Per Plot
Plot Display,Raw Values
Error Bars,Standard Error
Well Exclusion Criterion,Mean Firing Rate (Hz),0


Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,3.234665,3.140893,2.786927,5.968824,2.981197,2.624965,7.894239,4.568364,
B SEM,0.363488,0.727592,0.508513,0.492626,0.609939,0.615450,0.582348,0.898125,
B Replicates,2.871393,1.932037,2.814095,5.730238,6.576955,4.681096,5.623170,6.430573,
,4.216855,3.356545,1.899833,6.516939,1.349645,8.074028,8.240485,2.399833,
,3.595567,2.097658,3.206190,3.061271,1.888122,2.427436,10.655165,3.852781,
,4.360309,6.612505,5.863028,7.119197,2.452321,0.850690,6.769762,2.309703,
,2.841280,1.223965,1.618570,5.504391,6.599749,1.157256,8.137599,3.774362,
,0.954412,4.036596,6.054580,7.121079,0.602677,2.244668,7.822250,11.721246,
,1.722919,1.625889,1.145128,6.518611,1.501464,2.703262,7.191552,6.980552,
,4.685278,1.052279,1.331451,3.914471,1.658511,0.704308,10.160602,1.659138,
,2.102886,0.889168,1.246131,7.375366,4.897532,0.989126,11.210163,0.734003,
,4.903179,9.122543,4.031368,9.264325,0.831451,1.466123,7.882267,2.397742,
,2.528231,1.625680,1.109159,4.858427,3.686742,1.999373,6.664785,7.098703,
,4.033668,4.115851,3.123588,4.641573,3.729193,4.202217,4.373066,5.461731,


Number of Active Electrodes
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,7.916667,7.916667,8.000000,8.000000,8.000000,7.916667,8.000000,8.000000,
B SEM,0.083333,0.083333,0.000000,0.000000,0.000000,0.083333,0.000000,0.000000,
B Replicates,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,7.000000,7.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,7.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,
,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,8.000000,


Weighted Mean Firing Rate (Hz)
,GPR37L 1,GPR37L 2,LGI2 A12,SLITRK5,THSD7 1,THSD7 2,unt1,unt2,
B Mean,3.284626,3.180732,2.786927,5.968824,2.981197,2.653206,7.894239,4.568364,
B SEM,0.378869,0.729753,0.508513,0.492626,0.609939,0.615274,0.582348,0.898125,
B Replicates,2.871393,1.932037,2.814095,5.730238,6.576955,4.681096,5.623170,6.430573,
,4.816395,3.834618,1.899833,6.516939,1.349645,8.074028,8.240485,2.399833,
