,,GPR37L_1,GPR37L_1,GPR37L_2,GPR37L_2,LGI2_A12,LGI2_A12,SLITRK5,SLITRK5,THSD7_1,THSD7_1,THSD7_2,THSD7_2
,,F-statistic,P-value,F-statistic,P-value,F-statistic,P-value,F-statistic,P-value,F-statistic,P-value,F-statistic,P-value
Test Parameter,ANOVA variables,,,,,,,,,,,,
Mean Firing Rate (Hz),C(Gene),0.3055617480676784,0.5808575566733574,0.6572797856551851,0.41821047795958977,8.02021333888222,0.004961490361362558,16.916180146495172,5.140126635649928e-05,0.04431638273192353,0.8334191968972483,0.1690633232895663,0.6812601278415358
Mean Firing Rate (Hz),C(Chemical_Type),85.81611155515479,2.1062265181830548e-39,61.015709551714174,2.198277181011679e-30,79.22855814414471,3.911243471012046e-37,72.33736207386109,1.1467351905048055e-34,89.11757352705517,1.649671082184946e-40,81.01853739333058,9.277800944632656e-38
Mean Firing Rate (Hz),C(Gene):C(Chemical_Type),0.5614069160591326,0.6409054653935693,0.16756422593671058,0.9182016083157036,0.22900854657620465,0.8761617807686737,0.5930877970410874,0.6199976022951246,1.1541374024091644,0.32766054919498,0.8786663649661834,0.4525423212496199
Number of Active Electrodes,C(Gene),3.141204627044184,0.07742475912529966,0.25089605734764275,0.6168383624962337,4.764065335753072,0.029890587825887494,1.0806553245117343,0.299447824715172,0.4412506303580147,0.5070660897252703,1.3675832127350964,0.24322209142823958
Number of Active Electrodes,C(Chemical_Type),3.4018082701767702,0.018215307308600426,2.048984468339268,0.10725301814059837,0.6987295825771098,0.5535121039250827,0.43373240915773464,0.7290150648015108,1.4767187762648801,0.22107942247076853,3.3936324167871885,0.018414149192037592
Number of Active Electrodes,C(Gene):C(Chemical_Type),0.7213136550990508,0.5399769502833385,0.12544802867382995,0.9449999776799737,0.0776366202863478,0.9720548475016403,0.4337324091577635,0.7290150648014959,0.06471675911917199,0.978483591391342,0.602186846759921,0.6140721267380564
Weighted Mean Firing Rate (Hz),C(Gene),0.1495804412981715,0.6992303900783858,0.7671414205968796,0.38185358454601415,8.014524062002875,0.004976658864210775,15.861032314283376,8.695733915438258e-05,0.11043873177097603,0.7398938449828905,0.20845739121416887,0.648333149123739
Weighted Mean Firing Rate (Hz),C(Chemical_Type),83.09198676364112,1.7845107612895818e-38,60.396592685397515,3.847135889220016e-30,78.49751317391711,7.069151623540558e-37,72.351589968717,1.1330925719161152e-34,91.11931612411128,3.600596251544233e-41,80.36142351009421,1.5707146689841797e-37
Weighted Mean Firing Rate (Hz),C(Gene):C(Chemical_Type),0.5127332137578126,0.6738207764238731,0.19471930355884967,0.8999509636012459,0.19745276997666353,0.8980815038495374,0.6311053056927025,0.5954831440389662,1.2525970542835183,0.29100847531867896,0.8475814721418716,0.46885984332759123
Number of Bursting Electrodes,C(Gene),8.706963499870493,0.0034380492776531517,3.383054892601375,0.0669285382918559,5.414882226980661,0.020679109533860693,0.14536225196126834,0.7032964888838513,0.6686159844054358,0.41422981236220313,3.051142967841841,0.08177684496358203
Number of Bursting Electrodes,C(Chemical_Type),0.1781862110622048,0.91113721585506,0.06961018297533665,0.9761029547507267,0.10617416131334494,0.9564338477057066,0.14536225196123406,0.9325982357926059,0.05003248862897509,0.9851794783816311,0.5198243574841611,0.6689688169931998
Number of Bursting Electrodes,C(Gene):C(Chemical_Type),0.10570368452842559,0.9567049326568936,0.01392203659506523,0.9977523827283163,0.031227694503925926,0.9925669100133306,0.016151361329024533,0.9971971258372281,0.013645224171536241,0.9978185347497455,0.26669249644840165,0.8493807334017065
Burst Frequency - Avg (Hz),C(Gene),1.2048251087185315,0.2733024514318809,0.7416034742691003,0.38988455177495696,0.12105518860674808,0.7281542788986537,26.849855555212013,4.213664778656624e-07,1.570301133101253,0.21120871932080484,1.586876263651467,0.20882198120534262
Burst Frequency - Avg (Hz),C(Chemical_Type),30.16745515656538,6.261660539342339e-17,18.216001743555896,7.95481999014842e-11,44.9237429308908,9.877706993847977e-24,26.60383711687723,3.602447689759009e-15,42.407900627790994,1.26734717162571e-22,31.786942665079994,1.0300667611293357e-17
Burst Frequency - Avg (Hz),C(Gene):C(Chemical_Type),0.4217671837448629,0.7375316461623556,0.9552849379802231,0.41430467771350243,0.4614772295681895,0.7094112236209014,1.657829280799428,0.17634796447758747,1.1019590356063347,0.3487063000751441,0.4999567453475786,0.6826088628907996
Burst Duration - Avg (s),C(Gene),1.977776429463335,0.1607336765446449,1.8642019316969447,0.17323653453574786,8.806981702988718,0.0032600700487130318,61.71110217875584,8.565338005230806e-14,2.5043600774135064,0.11466044151523752,0.464411724667237,0.4961325845713358
Burst Duration - Avg (s),C(Chemical_Type),14.397655436369874,9.479266853369305e-09,13.602141565280036,2.613522930552755e-08,15.602634679775633,2.064414724248413e-09,8.087835106582629,3.479120001373533e-05,19.94136644914725,9.617625899454771e-12,21.368033290380158,1.713566850598956e-12
Burst Duration - Avg (s),C(Gene):C(Chemical_Type),0.32479072437604856,0.8074425365007845,0.3018907762016689,0.8240224614728122,0.43490701335116677,0.728180910075567,1.0853820771167761,0.35563727220399516,0.9018551498474943,0.44067362977806446,1.4235128448513283,0.23611167095716867
Normalized Duration IQR - Avg,C(Gene),5.693398242518261,0.017693456776060643,11.544421628951715,0.0007781397463714016,0.7025432299807346,0.40264537687908675,31.345899108744522,5.1496084732180885e-08,1.9742747700948058,0.16110332720852205,0.8801118090668631,0.34897957597673435
Normalized Duration IQR - Avg,C(Chemical_Type),8.172883659591067,3.107625339193111e-05,7.774876941845052,5.273711531408827e-05,7.4982068565242095,7.621727957676883e-05,7.089461628082848,0.0001314363688039187,10.073785699872259,2.5276347619885907e-06,12.19121536367365,1.6033569329749302e-07
Normalized Duration IQR - Avg,C(Gene):C(Chemical_Type),0.6087759895445898,0.6098038093516314,0.966706242939742,0.40884301231606224,1.5106346892160278,0.2119671724693139,2.8643265780845866,0.037086250911368975,0.4811767574915922,0.6956294755810838,1.4819288227387568,0.21965628728946537
IBI Coefficient of Variation - Avg,C(Gene),0.5559319174366878,0.4565294482628667,1.697788481774858,0.19364796845807583,0.1809878339080555,0.6708524697961433,63.50359092833353,4.071359878579766e-14,0.7471499470120518,0.3881199663882857,1.0257263793750286,0.31203890269640244
IBI Coefficient of Variation - Avg,C(Chemical_Type),36.85656406696128,4.17663174510086e-20,32.96137233780872,2.821729063407175e-18,44.274972790571674,1.8990889408777728e-23,20.88788886542113,3.0554508927389153e-12,57.84611001591003,3.950928049696675e-29,49.84988970317684,7.597504293752999e-26
IBI Coefficient of Variation - Avg,C(Gene):C(Chemical_Type),0.6745361663395983,0.5682816906697936,0.03204216974879062,0.9922799081728809,0.0816051111674962,0.9699919693935591,12.900684777677938,6.424525625705357e-08,2.5624409384604054,0.055113352908125024,1.7704388071149209,0.15299944161916987
Burst Percentage - Avg,C(Gene),17.578631964434866,3.7014886145648385e-05,18.29054965925301,2.6046728681220717e-05,14.514065229316396,0.00017103115192092529,2.795284246294754,0.09565907863146958,2.7537860358576634,0.09814401104614627,9.978124398972874,0.0017574936398632572
