,,GPR37L_1,GPR37L_1,GPR37L_2,GPR37L_2,LGI2_A12,LGI2_A12,SLITRK5,SLITRK5,THSD7_1,THSD7_1,THSD7_2,THSD7_2
,,F-statistic,P-value,F-statistic,P-value,F-statistic,P-value,F-statistic,P-value,F-statistic,P-value,F-statistic,P-value
Test Parameter,ANOVA variables,,,,,,,,,,,,
Number of Spikes,C(Gene),0.24524824770146647,0.6209137723203437,12.104504115072974,0.0006015324678650249,2.787158359306187,0.09638305723926117,3.2481936923112027,0.07281143937735987,0.4229212766785432,0.5161320336463502,0.23001792873928897,0.6319662661595589
Number of Spikes,C(Chemical_Type),1.2701172844643254,0.28251576522281224,1.8122923878464703,0.12726419655990107,2.5924283406678885,0.03739921804343793,0.26697559253524195,0.8989943159937076,1.4481895340880073,0.2189549344781173,1.1259261800525753,0.3449855893645259
Number of Spikes,C(Gene):C(Chemical_Type),0.5158758225925977,0.7241344304127167,0.9245185115677876,0.4503764421532205,1.6578918778824683,0.16067543678144472,0.17345347363153824,0.9518490136062653,0.7905063757318715,0.5323769382973318,0.5682795108767902,0.685914477381149
Mean Firing Rate (Hz),C(Gene),0.24389608202621305,0.6218774996071839,12.115277730112311,0.0005982413189772647,2.7963331222991012,0.09583992494841126,3.2453578824209806,0.07293567513872902,0.41981464509182487,0.5176758134716348,0.22808365016945192,0.6334019642559432
Mean Firing Rate (Hz),C(Chemical_Type),1.286436756559567,0.27609004671749415,1.838787177223713,0.12222625168876325,2.6243781397083055,0.03552669801902762,0.27976750190828753,0.8908945472675889,1.4707693377351423,0.21187365499504746,1.1459348762228538,0.33568811393719655
Mean Firing Rate (Hz),C(Gene):C(Chemical_Type),0.5148291834844988,0.7249006192215488,0.9253934158017316,0.44987174892906734,1.6537333014466318,0.16167823988806015,0.1728294383247972,0.952155672747671,0.7866867223826285,0.5348461337958648,0.5655399812547265,0.6879028050036977
ISI Coefficient of Variation - Avg,C(Gene),2.186855758484513,0.14056143017623698,0.045934558524753755,0.8304846929285152,0.46801689847512895,0.4945896093967591,11.309577864539465,0.0009030767056195907,13.46914416065558,0.00030147312853357486,10.808793902884386,0.0011684033549142724
ISI Coefficient of Variation - Avg,C(Chemical_Type),1.0275376012842086,0.39376356035565074,1.8882479667820773,0.11331710884143996,2.339196140427963,0.05603361111738072,0.8428167162539713,0.49927870673868713,1.2607119534392726,0.28627686728515295,1.891157795333001,0.1128124308973495
ISI Coefficient of Variation - Avg,C(Gene):C(Chemical_Type),0.8163481625136664,0.5158570210753213,1.2300572421500826,0.2988326390227948,1.7409547630922078,0.14180755202459225,0.49677788797420763,0.73812167188736,0.7005623648962,0.5922837402691236,1.234383576503972,0.2970328335219322
Network ISI Coefficient of Variation,C(Gene),0.8285128331770701,0.363655815734767,0.4132262351406436,0.5209768296170678,0.1406507772679525,0.707980502690595,10.622375866848625,0.001286415087498933,2.4902256937303227,0.11592963709543896,3.5981555664542415,0.059096617207238855
Network ISI Coefficient of Variation,C(Chemical_Type),0.7079569977650239,0.5872266844931144,0.817439357818034,0.5151666490714475,0.5178152528524004,0.7227148448743319,0.9149897337003737,0.4558994874715896,0.46808755665218615,0.7591296477939011,1.888462878632722,0.1132797623256086
Network ISI Coefficient of Variation,C(Gene):C(Chemical_Type),0.33610348236958004,0.8534703403074679,0.06088031864596895,0.9931122448960462,0.24870388868495613,0.910254274708907,0.07498200774833222,0.9897474006879448,0.0315078395242715,0.9980808068253264,0.44899694119397004,0.7730735460033277
Fano Factor,C(Gene),0.0998892632348996,0.7522491876339702,4.180759998171325,0.04202409967334402,2.0577061998283264,0.15279623842931309,17.08924136788914,4.998764969708591e-05,6.903018018303002,0.009183842580569115,3.6759194313321095,0.056442685254096354
Fano Factor,C(Chemical_Type),1.6556716766443305,0.16121010530483948,2.555592296681446,0.03967726622723589,3.8112382614951823,0.005078992800146448,0.6527611690348403,0.6254794465630107,1.8333307357426993,0.12324829061909143,1.6706159580121434,0.15764252590753428
Fano Factor,C(Gene):C(Chemical_Type),0.6268594934455947,0.6437982812211404,0.8798685028721478,0.4766702455141001,2.0211626680164922,0.09230702775269267,0.35313352242969287,0.8417022546777253,0.5815101097180319,0.6763321700018987,0.5470484489008419,0.7013566537830687
Number of Active Electrodes,C(Gene),0.20353982300887352,0.6523037151318662,4.35606060606068,0.037978890426957145,0.6666666666666903,0.41506104036355096,6.496319256102337,0.011461074425692863,4.7348105789850266,0.03057668151118221,5.928112215078986,0.015662975785412828
Number of Active Electrodes,C(Chemical_Type),0.8141592920354164,0.5172436393261577,0.04356060606060817,0.9963907458389231,0.39814814814813787,0.8098726942726514,0.031189461449048352,0.9981185889885764,1.056290207290934,0.378977903037417,0.6922852133255437,0.5979702204700511
Number of Active Electrodes,C(Gene):C(Chemical_Type),0.20353982300884746,0.9362568087740502,1.7341183712353327e-28,1.0,0.43518518518519067,0.7831285913952457,0.01336691204959517,0.999646013176058,0.7274839170836284,0.5739808748969704,0.3831092928112204,0.8206062664339234
Weighted Mean Firing Rate (Hz),C(Gene),0.24440180245677373,0.6215166696232763,13.795758406016851,0.00025583208586208133,2.810714960099025,0.0949952799354276,2.8568829825735897,0.0923384488324279,0.3299642699812315,0.5662415118960977,0.17089893571160739,0.6796993028107909
Weighted Mean Firing Rate (Hz),C(Chemical_Type),1.2896429625167203,0.27484246730106593,1.9820248503056153,0.09807652685595566,2.634305296558799,0.03496368364229262,0.28965449885792083,0.8845222777235773,1.5014460184753968,0.20258144044371784,1.1715185989926298,0.32410056558816536
Weighted Mean Firing Rate (Hz),C(Gene):C(Chemical_Type),0.5161793087398344,0.7239122759452374,1.0176552486263777,0.3989475395910689,1.6631557493904197,0.1594142950518249,0.18418585178103178,0.9464648787432665,0.8146898299870518,0.5169073338526282,0.5838605394190743,0.6746336264867698
Number of Bursts,C(Gene),1.0469849976362873,0.3072774899455756,19.419376188017175,1.6098692241390302e-05,4.246062134601176,0.04046638977764888,0.07745407842950898,0.7810277152244703,1.4352805627500567,0.23213766472826303,2.31849036011552,0.1292177345733953
Number of Bursts,C(Chemical_Type),1.060333614887794,0.37693400577472974,1.496853062124408,0.20394898923484067,1.4676498477847386,0.2128396272670999,0.37349238483142155,0.8274213992266374,1.0978763600699761,0.3583706601092184,0.8698109464292088,0.48273720276627397
Number of Bursts,C(Gene):C(Chemical_Type),0.641929249227499,0.6331142443225033,1.1318606701914327,0.34220634938468947,1.3356553024389441,0.2574668233325448,0.3759340712477534,0.8256949632887507,0.9810168834833344,0.4186239890657073,0.7472986429714689,0.5607066107424931
Number of Bursting Electrodes,C(Gene),1.2857142857143242,0.25801972325939254,7.234524408656354,0.007675574137528127,1.2857142857143242,0.25801972325939254,9.34896085065259,0.0024951899127649358,6.787804878048839,0.009777012650652275,6.173463177115106,0.013680863021206453
Number of Bursting Electrodes,C(Chemical_Type),0.21428571428569404,0.930331443894044,0.040513336688473366,0.9968652200013112,0.21428571428569404,0.930331443894044,0.1556307394876779,0.9603165338582844,1.3814024390243982,0.24114642732145522,0.06999391357272981,0.9910062692877046
